#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains diplomacy and advisor strings (Chinese Simple)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the diplomacy and advisor strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Sychronized files between languages.
#
#----------------------------------------------------------------------------

## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "由于对方曾遭我国击败，目前仍对我国相当反感。"
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_0 "此外，我们将会履行承诺，执行军事同盟协议，出兵{player[2].country_name}。"
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_1 "此外，我国将会遵守军事同盟协议，出兵{player[2].country_name}，与友邦并肩作战。"
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_2 "此外，我们将会遵照军事同盟协议，即刻出兵{player[2].country_name}。"
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_3 "此外，我国将会履行军事同盟协议，出兵{player[2].country_name}，展现大国的信用。"
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_4 "此外，我国将会履行军事同盟协议，出兵{player[2].country_name}。"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_0 "请求贵国遵守军事同盟协议，出兵{player[2].country_name}。守信与否，决定着我国对贵国的敬重程度。"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_1 "基于友邦关系，请求贵国遵守信用，比照军事同盟协议，出兵{player[2].country_name}，协助作战。"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_2 "乞求贵国遵守军事同盟协议，出兵{player[2].country_name}，我们需要您的保护！"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_3 "希望你们是守信的国家，请依照军事同盟协议，即刻出兵{player[2].country_name}。"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_4 "请依照军事同盟协议，即刻出兵{player[2].country_name}。"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_0 "此外，请求贵国遵守军事同盟协议，出兵{player[2].country_name}，履行当初共同签署的约定。"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_1 "此外，请求贵国遵守双边军事同盟协议，出兵{player[2].country_name}，贵国应该不想见到友邦受到伤害。"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_2 "此外，乞求贵国遵守军事同盟协议，出兵{player[2].country_name}。"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_3 "此外，请你们遵守信用，即刻依照军事同盟协议，出兵{player[2].civ_name_plural}。"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_4 "此外，请依照军事同盟协议，即刻出兵{player[2].country_name}，背叛将不会有好下场。"

DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_0 "我国将会遵守污染防制协议，将污染程度控制在{value[0].value}以下。"
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_1 "身为友邦，我国同意遵守污染防制协议，将污染程度控制在{value[0].value}以下。"
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_2 "我们愿意遵守污染防制协议，控制污染程度于{value[0].value}之下。"
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_3 "我国并非违信背约之国。故此，我们会执行防制协议内容，污染程度保持在{value[0].value}之下。"
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_4 "我国会遵守污染防制协议。我国污染程度从未逾越{value[0].value}之上。"
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_0 "此外，我国必定致力于控制污染程度于{value[0].value}之下。"
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_1 "此外，我国履行污染防制协议签订的承诺。将污染程度控制在{value[0].value}之下。"
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_2 "此外，我们誓言奉行污染防制协议，将污染程度控制在{value[0].value}之下。"
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_3 "此外，我国会执行污染防制协议，虽然对我们这类大国来说负担较大，然而污染程度仍会保持在{value[0].value}之下。"
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_4 "此外，我国会言而有信。污染程度会保持在{value[0].value}之下。"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_0 "我国郑重请求贵国遵守污染防制协议，控制污染程度于{value[0].value}之下。我们相信，贵国将不负我国所望。"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_1 "我国衷心请求贵国遵守污染防制协议。基于友谊精神，希望贵国控制污染程度于{value[0].value}之下。"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_2 "我们恳求贵国遵守约定，能控制污染程度于{value[0].value}之下。我们期望贵国如此泱泱大国，能受人尊敬。"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_3 "我国坚持你们得遵守协议。污染程度必须保持在{value[0].value}之下。"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_4 "遵守污染防制协议，控制污染程度于{value[0].value}以下！"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_0 "此外，请求贵国遵守污染防制协议，控制污染程度于{value[0].value}以下。"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_1 "此外，请求贵国遵守污染防制协议。将污染程度控制于{value[0].value}之下，如此我们才能享有清净的生活环境。"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_2 "此外，乞求贵国遵守污染防制协议。贵国已同意控制污染程度于{value[0].value}之下，希望贵国言而有信。"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_3 "此外，我国坚持你们得遵守协议，控制污染程度在{value[0].value}之下。不可出尔反尔。"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_4 "此外，遵守污染防制协议，控制污染程度于{value[0].value}以下！"

DIP_DETAILS_OFFER_END_EMBARGO_0 "我国将结束对贵国的贸易禁运，我国希望能在经济上取得互惠。"
DIP_DETAILS_OFFER_END_EMBARGO_1 "我国乐于结束对贵国的贸易禁运。"
DIP_DETAILS_OFFER_END_EMBARGO_2 "我们即刻结束对贵国的贸易禁运，我们无意冒犯贵国。"
DIP_DETAILS_OFFER_END_EMBARGO_3 "我国会收起对你们的贸易禁运。"
DIP_DETAILS_OFFER_END_EMBARGO_4 "纵使你们资格不符，我国仍打算停止对你们的贸易禁运。"
DIP_DETAILS_OFFER_END_EMBARGO_EX_0 "此外，我国将结束对贵国的贸易禁运。"
DIP_DETAILS_OFFER_END_EMBARGO_EX_1 "此外，我国将结束对贵国的贸易禁运。重拾双方贸易往来。"
DIP_DETAILS_OFFER_END_EMBARGO_EX_2 "此外，我们尽快终止对贵国贸易禁运此一错误政策。"
DIP_DETAILS_OFFER_END_EMBARGO_EX_3 "此外，我国同意停止对你们的贸易禁运。"
DIP_DETAILS_OFFER_END_EMBARGO_EX_4 "此外，我国会停止对你们的贸易禁运。"
DIP_DETAILS_REQUEST_END_EMBARGO_0 "我国郑重请求贵国终止对我国的贸易禁运。"
DIP_DETAILS_REQUEST_END_EMBARGO_1 "我国诚心请求贵国结束对我国的贸易禁运。双方能否达成友好协议？"
DIP_DETAILS_REQUEST_END_EMBARGO_2 "假如贵国终止对我们的贸易禁运，我们不胜感激。"
DIP_DETAILS_REQUEST_END_EMBARGO_3 "我国要求你们停止对我国的贸易禁运。与我国贸易往来才是明智之举。"
DIP_DETAILS_REQUEST_END_EMBARGO_4 "你们企图用贸易禁运伤害我国的尝试，已经令我国感到厌烦，尽早结束这场贸易禁运的闹剧吧。"
DIP_DETAILS_REQUEST_END_EMBARGO_EX_0 "此外，请求贵国终止对我国的贸易禁运，好让我们共享互惠之利。"
DIP_DETAILS_REQUEST_END_EMBARGO_EX_1 "此外，请求贵国终止对我国的贸易禁运。"
DIP_DETAILS_REQUEST_END_EMBARGO_EX_2 "此外，恳求贵国终止对我们的贸易禁运。"
DIP_DETAILS_REQUEST_END_EMBARGO_EX_3 "此外，我国坚持你们得终止对我国的贸易禁运，无庸置疑。"
DIP_DETAILS_REQUEST_END_EMBARGO_EX_4 "此外，即刻停止对我国的贸易禁运，愚蠢之事不可为之！"

DIP_DETAILS_TREATY_DECLARE_WAR_0 "建议贵国与我国一同对{player[2].civ_name_plural}宣战。"
DIP_DETAILS_TREATY_DECLARE_WAR_1 "建议贵国与我国一同对{player[2].civ_name_plural}宣战。一同歼敌。"
DIP_DETAILS_TREATY_DECLARE_WAR_2 "建议两国一同对{player[2].civ_name_plural}宣战。"
DIP_DETAILS_TREATY_DECLARE_WAR_3 "我国认为，两国可一同对{player[2].civ_name_plural}宣战。合则两利、分则两害。"
DIP_DETAILS_TREATY_DECLARE_WAR_4 "劝告贵国与我国一同对{player[2].civ_name_plural}宣战，对两国都是有利的。"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_0 "此外，建议贵国与我国一同对{player[2].civ_name_plural}宣战，请呼应我们的号召。"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_1 "此外，建议贵国与我国一同对{player[2].civ_name_plural}宣战，两人同心，其力断金。"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_2 "此外，建请贵国与我们一同对{player[2].civ_name_plural}宣战。"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_3 "此外，劝告你们与我国一同对{player[2].civ_name_plural}宣战。会劝告你们是好心指引你们选择正确的一方。"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_4 "此外，请贵国与我们一同对{player[2].civ_name_plural}宣战。"

DIP_DETAILS_TREATY_CEASEFIRE_0 "战争伤害国计民生，况且现今局势巳无战争的必要，请共同签署停火协议。"
DIP_DETAILS_TREATY_CEASEFIRE_1 "我们两国目标一致，应即刻签署停火协议，建立友好关系。"
DIP_DETAILS_TREATY_CEASEFIRE_2 "建议两国签署停火协议，希望贵国能展现仁慈的一面。"
DIP_DETAILS_TREATY_CEASEFIRE_3 "我国提议停止双方的杀戮行为，共同签署停火协议。"
DIP_DETAILS_TREATY_CEASEFIRE_4 "我国建议，双方即刻签署停火协议。"
DIP_DETAILS_TREATY_CEASEFIRE_EX_0 "此外，建议共同签署停火协议，以享和平。"
DIP_DETAILS_TREATY_CEASEFIRE_EX_1 "此外，希望贵国能签署停火协议，合力促成双方关系正常化。"
DIP_DETAILS_TREATY_CEASEFIRE_EX_2 "此外，恳求贵国能签署停火协议，我们不想再与贵国为敌。"
DIP_DETAILS_TREATY_CEASEFIRE_EX_3 "此外，请保持冷静，接受签署停火协议的请求。"
DIP_DETAILS_TREATY_CEASEFIRE_EX_4 "此外，请即刻签署停火协议。"

DIP_DETAILS_TREATY_PEACE_0 "为了不再制造人类的纷歧，为了确保后代子孙的平安，请共同签署和平条约。"
DIP_DETAILS_TREATY_PEACE_1 "基于友邦关系，我国建议双方签署和平条约，以深化双边关系与共同利益。"
DIP_DETAILS_TREATY_PEACE_2 "建请贵国与我签署和平条约，除了保证我国能与贵国共存，也给了我国学习贵国的机会。"
DIP_DETAILS_TREATY_PEACE_3 "强烈建议你们与我国签署和平条约，未来势必会证明，这项决定是最好的选择。"
DIP_DETAILS_TREATY_PEACE_4 "请与我国签署和平条约，我国保证不会在条约中玩弄花样。"
DIP_DETAILS_TREATY_PEACE_EX_0 "此外，为了追求和平共荣，请共同签署和平条约。"
DIP_DETAILS_TREATY_PEACE_EX_1 "此外，让我们放下武器，共同签署和平条约。"
DIP_DETAILS_TREATY_PEACE_EX_2 "此外，能否一同签署和平条约？"
DIP_DETAILS_TREATY_PEACE_EX_3 "此外，呼吁签署和平条约，让双方不再成天处于大战的阴影中。"
DIP_DETAILS_TREATY_PEACE_EX_4 "此外，请一同签署和平条约。"

DIP_DETAILS_TREATY_TRADE_PACT_0 "建议签署贸易协议，两国经济将能因此快速发展。"
DIP_DETAILS_TREATY_TRADE_PACT_1 "我们乐于和友好的贵国，签有贸易协议。"
DIP_DETAILS_TREATY_TRADE_PACT_2 "能否透过双方签署贸易协议，让我们能享受到贵国带来的庞大经贸利润？"
DIP_DETAILS_TREATY_TRADE_PACT_3 "建议你们与我国签署贸易协议，能和我们这种大国签有贸易协议，不是件容易的事。"
DIP_DETAILS_TREATY_TRADE_PACT_4 "我国为了拓展贸易，请你们签署贸易协议。"
DIP_DETAILS_TREATY_TRADE_PACT_EX_0 "此外，建议签署贸易协议，这对两国都是有利的。"
DIP_DETAILS_TREATY_TRADE_PACT_EX_1 "此外，基于友邦关系，建议签署贸易协议，以获得共同利益。"
DIP_DETAILS_TREATY_TRADE_PACT_EX_2 "此外，建议签署贸易协议，希望贵国能同意。"
DIP_DETAILS_TREATY_TRADE_PACT_EX_3 "此外，你们最好能与我国签署贸易协议，别错失这次机会。"
DIP_DETAILS_TREATY_TRADE_PACT_EX_4 "此外，请签署贸易协议，与我国保有良好关系，是你们能得到的最大好处。"

DIP_DETAILS_TREATY_RESEARCH_PACT_0 "建议贵国共同签署科技协议，将能强化双边知识社群的发展。"
DIP_DETAILS_TREATY_RESEARCH_PACT_1 "我国建议共同签署科技协议，能使双方共享结合之后的卓越科技成就。"
DIP_DETAILS_TREATY_RESEARCH_PACT_2 "建请贵国签署科技协议，对我们两国的科技发展总有百利而无一害害。"
DIP_DETAILS_TREATY_RESEARCH_PACT_3 "建议贵国与我国签署科技协议，双方都能因此获益。"
DIP_DETAILS_TREATY_RESEARCH_PACT_4 "劝告贵国及早与领先世界的我国签署科技协议。"
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_0 "此外，呼吁贵国一同签署科技协议，双边将可共享科学研究成果。"
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_1 "此外，建议共同签署科技协议，让我们两国的科技一道成长。"
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_2 "此外，请求共同签署科技协议，若是贵国能同意签署，我们会万分感谢于贵国所促成的科技跃进。"
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_3 "此外，强烈建议你们同我国签署科技协议，聪明的国家一定会同意这项蕴含许多利益的要求。"
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_4 "此外，建议共同签署科技协议，别愚笨到错失良机。"

DIP_DETAILS_TREATY_MILITARY_PACT_0 "建议签署军事协议，一日遭受外敌攻击，两国将会彼此照应，一同作战。"
DIP_DETAILS_TREATY_MILITARY_PACT_1 "建议签署军事协议，正道国家之间，更应该要彼此维护对方安全。"
DIP_DETAILS_TREATY_MILITARY_PACT_2 "恳求签署军事协议，我们亟需贵国保护，希望贵国能够同意。"
DIP_DETAILS_TREATY_MILITARY_PACT_3 "建议签署军事协议，你们将会发现，能藉此得到很多好处。"
DIP_DETAILS_TREATY_MILITARY_PACT_4 "建议签署军事协议，希望你们不会愚钝到，错估这些好处。"
DIP_DETAILS_TREATY_MILITARY_PACT_EX_0 "此外，建议签署军事协议，同时为双方的国防安全背书。"
DIP_DETAILS_TREATY_MILITARY_PACT_EX_1 "此外，建议签署军事协议，基于友好关系，友邦有难更应奋不顾身的前往救援。"
DIP_DETAILS_TREATY_MILITARY_PACT_EX_2 "此外，恳求签署军事协议，以便我们受到侵略时，还能得到贵国的支持。"
DIP_DETAILS_TREATY_MILITARY_PACT_EX_3 "此外，建议签署军事协议，以确保两国免于亡国的厄运。"
DIP_DETAILS_TREATY_MILITARY_PACT_EX_4 "此外，请签署军事协议。"

DIP_DETAILS_TREATY_POLLUTION_PACT_0 "基于爱护环境的精神，建议签署污染防制协议，让双方污染程度都能控制在{value[0].value}以下。"
DIP_DETAILS_TREATY_POLLUTION_PACT_1 "建议签署污染防制协议，一同控制污染程度在{value[0].value}以下。"
DIP_DETAILS_TREATY_POLLUTION_PACT_2 "建请签署污染防制协议，我们打算控制污染程度在{value[0].value}以下，希望贵国一同参与。"
DIP_DETAILS_TREATY_POLLUTION_PACT_3 "劝告你们签署污染防制协议，一同控制污染程度在{value[0].value}以下。"
DIP_DETAILS_TREATY_POLLUTION_PACT_4 "我国将送出污染防制协议供你们签署，条约形式签订后，表示双方同意控制污染程度在{value[0].value}以下。"
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_0 "此外，建议签署污染防制协议，一同控制污染程度在{value[0].value}以下。"
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_1 "此外，建议签署污染防制协议，一同控制污染程度在{value[0].value}以下，对双方都是有利的。"
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_2 "此外，建请签署污染防制协议，我们将控制污染程度在{value[0].value}以下，希望贵国亦如此打算。"
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_3 "此外，劝告你们签署污染防制协议，希望你们也能控制污染程度在{value[0].value}以下。"
DIP_DETAILS_TREATY_POLLUTION_PACT_EX_4 "此外，请签署污染防制协议，控制污染程度在{value[0].value}以下。"

DIP_DETAILS_TREATY_ALLIANCE_0 "我们两国有共同利益与目标，建议签署联盟条约，共同治理天下。"
DIP_DETAILS_TREATY_ALLIANCE_1 "建议签署联盟条约，让双方友谊永固。"
DIP_DETAILS_TREATY_ALLIANCE_2 "建请贵国签署联盟条约，永保双方和平。"
DIP_DETAILS_TREATY_ALLIANCE_3 "虽然你们弱于我国，但多少还是有利用价值。因此，我国提出签署联盟条约的提议。"
DIP_DETAILS_TREATY_ALLIANCE_4 "建议共同签署联盟条约，这是让你们加入我阵营的机会，请珍惜。"
DIP_DETAILS_TREATY_ALLIANCE_EX_0 "此外，建议签署联盟条约，让两国共享和平与繁荣。"
DIP_DETAILS_TREATY_ALLIANCE_EX_1 "此外，建议签署联盟条约，以庆祝双方如此敬重彼此。"
DIP_DETAILS_TREATY_ALLIANCE_EX_2 "此外，恳求签署联盟条约，为双方带来好处。"
DIP_DETAILS_TREATY_ALLIANCE_EX_3 "此外，我国邀请贵国同我签署联盟条约，结成联盟，只有愚笨的人才会拒绝这项邀请。"
DIP_DETAILS_TREATY_ALLIANCE_EX_4 "此外，强烈建议你们，尽早同意与我国签署联盟条约。"

DIP_THREAT_NONE "无"
DIP_DETAILS_THREAT_NONE "无此威胁项目。"
DIP_THREAT_MASS_TROOPS "动员部队"
DIP_DETAILS_THREAT_MASS_TROOPS "我国对你们失去耐心。若不依照我们的要求，我国将动员部队聚集于边境！"
DIP_THREAT_INVADE "入侵"
DIP_DETAILS_THREAT_INVADE "若不依照我们的要求，我们将会出兵贵国、大肆杀戮贵国人民！"
DIP_THREAT_ATTACK_CITY "攻打城市"
DIP_DETAILS_THREAT_ATTACK_CITY "若不依照我们的要求，我国将会即刻发兵{city[0].name}！"
DIP_THREAT_ATTACK_ARMY "攻打军队"
DIP_DETAILS_THREAT_ATTACK_ARMY "再不同意的话，将击灭你们的军队！"
DIP_THREAT_PIRATE "强掠"
DIP_DETAILS_THREAT_PIRATE "若是我们无法满意的话，将对贵国贸易路线进行强掠！"
DIP_THREAT_SPECIAL_ATTACK_CITY "高科技攻击"
DIP_DETAILS_THREAT_SPECIAL_ATTACK_CITY "若不同意我们的要求，我国将会以非传统武器，一次终结{city[0].name}。"
DIP_THREAT_DESTROY_CITY "毁灭城市"
DIP_DETAILS_THREAT_DESTROY_CITY "若是贵国再拒绝下去，{city[0].name}只能准备成为废墟。"
DIP_THREAT_PILLAGE "掠夺"
DIP_DETAILS_THREAT_PILLAGE "若不同意我们的要求，我们将会无情地掠夺贵国。"
DIP_THREAT_JOIN_MILITARY_ALLY "结成军事同盟"
DIP_DETAILS_THREAT_JOIN_MILITARY_ALLY "若不同意我们的要求，我国将会与{player[2].civ_name_plural}结成军事同盟。"
DIP_THREAT_SELL_TECHNOLOGY "出售科技"
DIP_DETAILS_THREAT_SELL_TECHNOLOGY "若是贵国再拒绝我国，我国将会出售科技给{player[2].civ_name_plural}。"
DIP_THREAT_GIVE_AID "帮助敌国"
DIP_DETAILS_THREAT_GIVE_AID "若是贵国仍拒绝我国，我国将会帮助{player[2].civ_name_plural}。"
DIP_THREAT_END_AGREEMENT "废除条约"
DIP_DETAILS_THREAT_END_AGREEMENT "贵国要是不同意的话，我国将终止与贵国所签署的一切条约、协议及协议。"
DIP_THREAT_TRADE_EMBARGO "贸易禁运"
DIP_DETAILS_THREAT_TRADE_EMBARGO "若是贵国仍感到为难无法同意的话，我国只有采取贸易禁运一途。"
DIP_THREAT_DECLARE_WAR "宣战"
DIP_DETAILS_THREAT_DECLARE_WAR "贵国要是不同意的话，我国将就此宣战！"


str_ldl_ChooseAmount "决定数量"
str_dip_ChooseCivFirst "请先选择发言对象。"
str_dip_CounterProposalHeader "响应提案："
str_dip_ResponseAccept "接受提案。"
str_dip_ResponseReject "拒绝提案。"
str_ldl_DipThreaten "威胁"
str_ldl_MakeThreat "做出威胁"

##
##	Pop-up Messages
##
POPUP_GENERIC_ACCEPT "{player[1].civ_name_plural}接受你的所有提案。"
POPUP_GENERIC_REJECT "{player[1].civ_name_plural}拒绝你的提案。"
POPUP_GENERIC_THREAT_REJECT "{player[1].civ_name_plural}无惧于你的威胁。"
POPUP_DECLARE_WAR_ANNC "陛下，{player[1].civ_name_plural}对我国宣战！"

##
##	CITY MANAGER
##

BUILD_GROWTH_ADVICE "应建造加速人口成长的城市设施。"
BUILD_PRODUCTION_ADVICE "城市需要更多的生产力，应建造增加生产力的城市设施或地上设施。"
BUILD_GOLD_ADVICE "资金成长呈现停滞状态，应建造增加商业收入的城市设施"
BUILD_OFFENSE_ADVICE "我军目前亟需兵力加入作战，应尽快建造攻击部队投入作战。"
BUILD_SCIENCE_ADVICE "应建造增进科学研究的城市设施。"
BUILD_WONDERS_ADVICE "这座城市拥有极为惊人的生产力，可在此城建造世界奇观。"
BUILD_DEFENSE_ADVICE "这座城市无法抵挡敌人攻击，应建造防御部队或防御设施，以保护市民安全。"
BUILD_HAPPINESS_ADVICE "这座城市似乎不快乐，应建造能增进快乐的设施，将能长久地带给市民快乐的生活。"
BUILD_DEFAULT_ADVICE "目前没有任何建议，每件事情都井然有序、按部就班。"

##
##  EMPIRE MANAGER
##

# Slider Advice

SLIDERS_MAINTAIN_EXPECTATION_ADVICE "薪资、工时和粮给目前维持良好平衡，无须做任何更动。"
SLIDERS_INCREASE_HAPPINESS_WITH_GOLD_ADVICE "我国人民并不快乐！应考虑增加人民薪资。"
SLIDERS_INCREASE_HAPPINESS_WITH_FOOD_ADVICE "人民对于食物供给量并不满意。应考虑增加粮给。"
SLIDERS_INCREASE_HAPPINESS_WITH_WORKDAY_ADVICE "人民感到工作过量时。可以考虑减少工时，多给予休息。将使人民感到快乐。"
SLIDERS_INCREASE_GROWTH_WITH_PRODUCTION "必须加速帝国人口成长。可藉由粮给的减量，以增加存粮，进而增加人口；然而人民会因粮给减少而不满。此时可透过工时减少等方法，来平衡这项不满。"
SLIDERS_INCREASE_SCIENCE_WITH_PRODUCTION "我国科技缺乏有力支持，正每况愈下。必须降低工资，将资金投入于科技发展上。虽然工资的降低会导致人民不满，可藉由工时减少等方式，来处理他们的不满。"

# Government Advice

GOVERNMENT_ANARCHY_HIGHER_RANK_ADVICE "建议选择无政府状态，目前并无其它政体可以选择。"
GOVERNMENT_ANARCHY_SAME_RANK_ADVICE "考虑选择无政府状态，因为没有其它政体可以选择。"
GOVERNMENT_TYRANNY_SAME_RANK_ADVICE "建议政体更动为专制政体。这种体制适合建立强大的军队。"
GOVERNMENT_TYRANNY_HIGHER_RANK_ADVICE "建议政体变更为专制政体。"
GOVERNMENT_MONARCHY_SAME_RANK_ADVICE "建议政体改为君主政治。帝国将更为繁盛，军队更形强大。"
GOVERNMENT_MONARCHY_HIGHER_RANK_ADVICE  "建议政体改为君主政治。人民生产力将因此提升，国家更为昌盛繁荣。"
GOVERNMENT_THEOCRACY_SAME_RANK_ADVICE "建议政体改为神权政治，我们将能借着牧师扩展国力。"
GOVERNMENT_THEOCRACY_HIGHER_RANK_ADVICE "建议政体改为神权政治，依信仰而立的政府必定强大"
GOVERNMENT_REPUBLIC_SAME_RANK_ADVICE "建议改变政体为共和政体，将为国家带来和平与繁荣。"
GOVERNMENT_REPUBLIC_HIGHER_RANK_ADVICE "建议改变政体为共和政体，生产力、人口成长、科技研发都会因共和政体而受益。"
GOVERNMENT_DEMOCRACY_SAME_RANK_ADVICE "建议改变政体为民主政体，让商业与科技因而快速发展。"
GOVERNMENT_DEMOCRACY_HIGHER_RANK_ADVICE "建议政体变更为民主政体，因为人民喜爱财富增加、生产力提升及工时更少的自由生活。"
GOVERNMENT_COMMUNISM_SAME_RANK_ADVICE "建议政体变更为乌托邦政体，我国生产力将会突飞猛进。"  
GOVERNMENT_COMMUNISM_HIGHER_RANK_ADVICE "在乌托邦体制之下，我国在军事及工业上会更为强大、更具生产力。建议变更政体为乌托邦政体。"
GOVERNMENT_FASCISM_SAME_RANK_ADVICE "建议采行强权主义政体，独裁者将以铁的手腕统治世界，所有国家将臣服在帝国的铁蹄下。"
GOVERNMENT_FASCISM_HIGHER_RANK_ADVICE "建议帝国改为强权主义政体，生产力和军事力将因而获得优势，这些力量才是立国之本。"
GOVERNMENT_ECOTOPIA_SAME_RANK_ADVICE "建议我国采用生态乌托邦政体，让我们享受清净的生活环境。"
GOVERNMENT_ECOTOPIA_HIGHER_RANK_ADVICE "能实行生态乌托邦体制的国家就是繁荣的国家。建议政体变更为生态乌托邦体制。"
GOVERNMENT_CORPORATE_REPUBLIC_SAME_RANK_ADVICE "建议变更政体为法人共和政体。国家将因此兴盛、具有竞争力。当商业兴盛时，科技亦跟着发达。"
GOVERNMENT_CORPORATE_REPUBLIC_HIGHER_RANK_ADVICE "建议变更政体为法人共和政体。商业、生产力、科技以及经济发展都会因此快速成长。"
GOVERNMENT_TECHNOCRACY_SAME_RANK_ADVICE "建议变更政体为科技官僚体制。让我国科学家得到充分支助，进而在科技成就上引领全球。"
GOVERNMENT_TECHNOCRACY_HIGHER_RANK_ADVICE "建议变更政体为科技官僚体制。让我国在科技发展上取得领导地位。"
GOVERNMENT_VIRTUAL_DEMOCRACY_SAME_RANK_ADVICE "建议变更政体为虚拟民主政体。让我们的商业发展繁荣不已。"
GOVERNMENT_VIRTUAL_DEMOCRACY_HIGHER_RANK_ADVICE "建议变更政体为虚拟民主政体。让我们国家成为繁荣、光明、自由的国度。"

##
##  MILITARY MANAGER
##

NEEDED_UNIT_TYPE_ADVICE "军队要求扩增{unitrecord[0].name}部队，建请国家增加{unitrecord[0].name}的生产，使国军保有最新式、最强力的战斗组合。"
LOW_MILITARY_RANK_ADVICE "虽然我国巳拥有足够的军队规模，仍得避免与强敌发生战事，直到我国能建造更多的部队为止。"
HIGH_MILITARY_RANK_ADVICE "我国拥有强大的军事力量，我们可以藉由军事手段，达成政治目的。"
TACTICAL_DEFEND_AREA_ADVICE "我们应派遣部队防御{city[0].name}周边地区。"
AT_PEACE_READINESS_ADVICE "目前我国并无任何军事威胁。建议调整军备为和平状态。"
