# Control Panel
STATUSBAR_END_TURN_BUTTON	"完成一切动作时，请按结束回合钮"
TOOLTIP_UNITMAN_STATS_TAB_SORTBY_STATS_BUTTON		"依属性排序"

#	Tactical Info Tab
STATUSBAR_UNITMAN_TACT_TAB_SORTBY_NAME_BUTTON		"以部队名称排列顺序。"
TOOLTIP_UNITMAN_TACT_TAB_SORTBY_NAME_BUTTON		"依名称排序"
STATUSBAR_UNITMAN_TACT_TAB_SORTBY_ARMYNAME_BUTTON	"以军队类别排列顺序。"
TOOLTIP_UNITMAN_TACT_TAB_SORTBY_ARMYNAME_BUTTON		"依军队排序"
STATUSBAR_UNITMAN_TACT_TAB_SORTBY_ORDER_BUTTON		"以部队执行任务排列顺序。"
TOOLTIP_UNITMAN_TACT_TAB_SORTBY_ORDER_BUTTON		"依命令排序"
STATUSBAR_UNITMAN_TACT_TAB_SORTBY_LOC_BUTTON		"以部队地点位置排列顺序。"
TOOLTIP_UNITMAN_TACT_TAB_SORTBY_LOC_BUTTON		"依地点排序"
STATUSBAR_UNITMAN_TACT_TAB_SORTBY_HEALTH_BUTTON		"以部队健康状况排列顺序。"
TOOLTIP_UNITMAN_TACT_TAB_SORTBY_HEALTH_BUTTON		"依生命力排序"

# Diplomacy Management Screen
#
#	Negotiations Table Window
STATUSBAR_DIPMAN_TABLE_SORTCIV_BUTTON		"以国家名称排列协议文件的顺序。"
TOOLTIP_DIPMAN_TABLE_GOTO_RESPOND_BUTTON		"依国家排序"
STATUSBAR_DIPMAN_TABLE_PROP_RECV_DISPLAY		"记录历年各国对我提出的条约与协议。"
TOOLTIP_DIPMAN_TABLE_GOTO_RESPOND_BUTTON		"收件记录"
STATUSBAR_DIPMAN_TABLE_PROP_SENT_DISPLAY		"记录历年我国对外提出的条约与协议。"
TOOLTIP_DIPMAN_TABLE_GOTO_RESPOND_BUTTON		"发件记录"
STATUSBAR_DIPMAN_TABLE_FACE_HOST_DISPLAY		"该国以高度敌意的姿态送交这份协议。"
TOOLTIP_DIPMAN_TABLE_GOTO_RESPOND_BUTTON		"充满敌意的姿态"
STATUSBAR_DIPMAN_TABLE_FACE_MAGN_DISPLAY		"该国以泱泱大国的风范送交这份协议。"
TOOLTIP_DIPMAN_TABLE_GOTO_RESPOND_BUTTON		"宽大仁慈的姿态"
STATUSBAR_DIPMAN_TABLE_FACE_OBSQ_DISPLAY		"该国以奉承上国的软弱姿态送交协议。"
TOOLTIP_DIPMAN_TABLE_GOTO_RESPOND_BUTTON		"奉承上国的姿态"
STATUSBAR_DIPMAN_TABLE_FACE_HAUG_DISPLAY		"该国以鄙视下国的傲慢姿态送交协议。"
TOOLTIP_DIPMAN_TABLE_GOTO_RESPOND_BUTTON		"鄙视下国的姿态"
STATUSBAR_DIPMAN_TABLE_FACE_FRND_DISPLAY		"该国以友善的姿态送交这份协议。"
TOOLTIP_DIPMAN_TABLE_GOTO_RESPOND_BUTTON		"友善的姿态"
STATUSBAR_DIPMAN_TABLE_GOTO_RESPOND_BUTTON	"选择响应方式，包括同意、回绝、提出对应要求。"
TOOLTIP_DIPMAN_TABLE_GOTO_RESPOND_BUTTON		"响应"
STATUSBAR_DIPMAN_TABLE_GOTO_INTEL_BUTTON		"检视该国的国情报告。"
TOOLTIP_DIPMAN_TABLE_GOTO_INTEL_BUTTON		"参询智库"
STATUSBAR_DIPMAN_TABLE_GOTO_CREATE_BUTTON		"起草新的外交协议。"
TOOLTIP_DIPMAN_TABLE_GOTO_CREATE_BUTTON		"起草新协议"
STATUSBAR_DIPMAN_TABLE_CLOSE_BUTTON			"按此钮以结束谈判画面。"
TOOLTIP_DIPMAN_TABLE_CLOSE_BUTTON			"结束谈判"
STATUSBAR_DIPMAN_TABLE_VIEWFULLTEXT_BUTTON	"双击以回顾协议全文内容。"
TOOLTIP_DIPMAN_TABLE_VIEWFULLTEXT_BUTTON		"协议回顾"

#	Respond To Proposal Window
STATUSBAR_DIPMAN_RESPOND_REJECT_BUTTON		"拒绝这项提议。"
TOOLTIP_DIPMAN_RESPOND_REJECT_BUTTON		"拒绝"
STATUSBAR_DIPMAN_RESPOND_ACCEPT_BUTTON		"接受这项提议。"
TOOLTIP_DIPMAN_RESPOND_ACCEPT_BUTTON		"接受"
STATUSBAR_DIPMAN_RESPOND_COUNTER_BUTTON		"同时提出外交协议议案。"
TOOLTIP_DIPMAN_RESPOND_COUNTER_BUTTON		"提出响应案"

#	Counter-Proposal Window
STATUSBAR_DIPMAN_COUNTER_SELECTTONE_BUTTON	"选择协议送达的姿态"
TOOLTIP_DIPMAN_COUNTER_SELECTTONE_BUTTON		"外交姿态"
STATUSBAR_DIPMAN_COUNTER_TONE_OBSQ_BUTTON		"面对强国，宜采取软弱的姿态。"
TOOLTIP_DIPMAN_COUNTER_TONE_OBSQ_BUTTON		"奉承上国的姿态"
STATUSBAR_DIPMAN_COUNTER_TONE_FRND_BUTTON		"面对巳建立情谊的友邦，宜采取友善态度。"
TOOLTIP_DIPMAN_COUNTER_TONE_FRND_BUTTON		"友善的姿态"
STATUSBAR_DIPMAN_COUNTER_TONE_HAUG_BUTTON		"面对弱于我国的傲慢国家，宜保有上国姿态。"
TOOLTIP_DIPMAN_COUNTER_TONE_HAUG_BUTTON		"鄙视下国的姿态"
STATUSBAR_DIPMAN_COUNTER_TONE_MAGN_BUTTON		"面对弱小国家，是展现泱泱大国的时候。"
TOOLTIP_DIPMAN_COUNTER_TONE_MAGN_BUTTON		"宽大仁慈的姿态"
STATUSBAR_DIPMAN_COUNTER_TONE_HOST_BUTTON		"面对不友善或是巳是仇敌的国家，宜保持高度敌视的姿态。"
TOOLTIP_DIPMAN_COUNTER_TONE_HOST_BUTTON		"充满敌意的态度"
STATUSBAR_DIPMAN_COUNTER_SELECTREQ_BUTTON		"选择本次协议的提案内容或要求。"
TOOLTIP_DIPMAN_COUNTER_SELECTREQ_BUTTON		"选择提案内容"
STATUSBAR_DIPMAN_COUNTER_ADDTREATY_BUTTON		"提议两国政府签署条约。"
TOOLTIP_DIPMAN_COUNTER_ADDTREATY_BUTTON		"签署条约"
STATUSBAR_DIPMAN_COUNTER_ADDGIFT_BUTTON		"赠送粮食或黄金等生产力。"
TOOLTIP_DIPMAN_COUNTER_ADDGIFT_BUTTON		"致赠礼物"
STATUSBAR_DIPMAN_COUNTER_TO_DISPLAY			"由此可对提议者响应新的外交提案。"
TOOLTIP_DIPMAN_COUNTER_TO_DISPLAY			"协议提议者"
STATUSBAR_DIPMAN_COUNTER_ORIGINATOR_DISPLAY	"记录协议的提议者。"
TOOLTIP_DIPMAN_COUNTER_ORIGINATOR_DISPLAY		"协议提议者"
STATUSBAR_DIPMAN_COUNTER_FLAG_DISPLAY		"记录协议提出国的旗色。"
TOOLTIP_DIPMAN_COUNTER_FLAG_DISPLAY			"旗色"
STATUSBAR_DIPMAN_COUNTER_TONE_DISPLAY		"决定提出响应案时的外交态度。"
TOOLTIP_DIPMAN_COUNTER_TONE_DISPLAY			"响应提案的姿态"
STATUSBAR_DIPMAN_COUNTER_CLEARFORM_BUTTON		"按此钮以清除表格，重新填写。"
TOOLTIP_DIPMAN_COUNTER_CLEARFORM_BUTTON		"重填表格"
STATUSBAR_DIPMAN_COUNTER_SHOWHIST_BUTTON		"按此钮以决定显示或隐藏协议的历史纪录。"
TOOLTIP_DIPMAN_COUNTER_SHOWHIST_BUTTON		"显示/隐藏历史纪录"
STATUSBAR_DIPMAN_COUNTER_SENDCOUNTER_BUTTON	"按此钮以提出新的协议提案。"
TOOLTIP_DIPMAN_COUNTER_SENDCOUNTER_BUTTON		"送出响应提案"
STATUSBAR_DIPMAN_COUNTER_CANCEL_BUTTON		"按此钮以结束外交画面。"
TOOLTIP_DIPMAN_COUNTER_CANCEL_BUTTON		"关闭"

#	Withdraw Proposal Window
STATUSBAR_DIPMAN_WDPROP_CANCELWD_BUTTON		"取消协议的撤回动作。"
TOOLTIP_DIPMAN_WDPROP_CANCELWD_BUTTON		"取消撤回"
STATUSBAR_DIPMAN_WDPROP_WITHDRAW_BUTTON		"于外交谈判时，撤回提案。"
TOOLTIP_DIPMAN_WDPROP_WITHDRAW_BUTTON		"撤回提案"
STATUSBAR_DIPMAN_WDPROP_SHOWHIST_BUTTON		"按此钮以决定显示或隐藏谈判历史纪录。"
TOOLTIP_DIPMAN_WDPROP_SHOWHIST_BUTTON		"显示/隐藏历史纪录"

#	Intelligence Window
STATUSBAR_DIPMAN_INTEL_HISTADV_TOGGLE_BUTTON	"按此钮以切换外交顾问与协议记录画面。"
TOOLTIP_DIPMAN_INTEL_HISTADV_TOGGLE_BUTTON	"历史/顾问切换钮"
STATUSBAR_DIPMAN_INTEL_CLOSE_BUTTON		"按此钮以结束外交画面。" 
TOOLTIP_DIPMAN_INTEL_CLOSE_BUTTON		"关闭"
STATUSBAR_DIPMAN_INTEL_CIVCOL_BUTTON		"显示巳建立外交关系的国家有那些。"
TOOLTIP_DIPMAN_INTEL_CIVCOL_BUTTON		"国名"
STATUSBAR_DIPMAN_INTEL_RELAMER_BUTTON		"参询顾问有关我国和美国的外交关系。"
TOOLTIP_DIPMAN_INTEL_RELAMER_BUTTON		"美国"
STATUSBAR_DIPMAN_INTEL_RELFRAN_BUTTON		"参询顾问有关我国和法国的外交关系。"
TOOLTIP_DIPMAN_INTEL_RELFRAN_BUTTON		"法国"
STATUSBAR_DIPMAN_INTEL_RELGERM_BUTTON		"参询顾问有关我国和德国的外交关系。"
TOOLTIP_DIPMAN_INTEL_RELGERM_BUTTON		"德国"
STATUSBAR_DIPMAN_INTEL_RELITAL_BUTTON		"参询顾问有关我国和意大利的外交关系。"
TOOLTIP_DIPMAN_INTEL_RELITAL_BUTTON		"意大利"
STATUSBAR_DIPMAN_INTEL_REGCOL_BUTTON		"显示那些国家关切着我国。"
TOOLTIP_DIPMAN_INTEL_REGCOL_BUTTON		"关切状态"
STATUSBAR_DIPMAN_INTEL_REG_LOW_BUTTON		"该国不太关切我国的举动。"
TOOLTIP_DIPMAN_INTEL_REG_LOW_BUTTON		"不甚关切"
STATUSBAR_DIPMAN_INTEL_REG_AVG_BUTTON		"该国关切着我国的举动。"
TOOLTIP_DIPMAN_INTEL_REG_AVG_BUTTON		"普通关切"
STATUSBAR_DIPMAN_INTEL_REG_HI_BUTTON		"该国高度关切着我国的举动。"
TOOLTIP_DIPMAN_INTEL_REG_HI_BUTTON		"高度关切"
STATUSBAR_DIPMAN_INTEL_REG_GRT_BUTTON		"该国极度关切着我国的举动。"
TOOLTIP_DIPMAN_INTEL_REG_GRT_BUTTON		"极度关切"
STATUSBAR_DIPMAN_INTEL_STRCOL_BUTTON		"显示各国的强弱程度。"
TOOLTIP_DIPMAN_INTEL_STRCOL_BUTTON		"强弱度"
STATUSBAR_DIPMAN_INTEL_STR_VSTR_BUTTON		"据军事智库的评估，为超强国家。"
TOOLTIP_DIPMAN_INTEL_STR_VSTR_BUTTON		"超强"
STATUSBAR_DIPMAN_INTEL_STR_STRN_BUTTON		"根据最新消息显示，是为强国。"
TOOLTIP_DIPMAN_INTEL_STR_STRN_BUTTON		"强国"
STATUSBAR_DIPMAN_INTEL_STR_AVG_BUTTON		"据军事智库的评估，是为中等国家。"
TOOLTIP_DIPMAN_INTEL_STR_AVG_BUTTON		"中等国家"
STATUSBAR_DIPMAN_INTEL_STR_WEAK_BUTTON		"是为弱小国家。"
TOOLTIP_DIPMAN_INTEL_STR_WEAK_BUTTON		"弱小"
STATUSBAR_DIPMAN_INTEL_STR_VWEK_BUTTON		"该国极度衰弱。"
TOOLTIP_DIPMAN_INTEL_STR_VWEK_BUTTON		"非常弱小"
STATUSBAR_DIPMAN_INTEL_EMBCOL_BUTTON		"显示那些国家设有使馆。"
TOOLTIP_DIPMAN_INTEL_EMBCOL_BUTTON		"各国使馆情形"
STATUSBAR_DIPMAN_INTEL_EMB_NO_BUTTON		"未曾在这些国家设立使馆。"
TOOLTIP_DIPMAN_INTEL_EMB_NO_BUTTON		"未设立使馆"
STATUSBAR_DIPMAN_INTEL_EMB_YES_BUTTON		"我国在此国设有使馆。"
TOOLTIP_DIPMAN_INTEL_EMB_YES_BUTTON		"设有使馆"
STATUSBAR_DIPMAN_INTEL_TRTYCOL_BUTTON		"显示我国与该国签署那些条约或协议。"
TOOLTIP_DIPMAN_INTEL_TRTYCOL_BUTTON		"条约、盟约、协议"
STATUSBAR_DIPMAN_INTEL_TRTY_WAR_BUTTON		"我国与该国交战中。"
TOOLTIP_DIPMAN_INTEL_TRTY_WAR_BUTTON		"交战中"
STATUSBAR_DIPMAN_INTEL_TRTY_RBWP_BUTTON		"我国与该国签有裁减生化武器的协议。"
TOOLTIP_DIPMAN_INTEL_TRTY_RBWP_BUTTON		"生化裁军协议"
STATUSBAR_DIPMAN_INTEL_TRTY_RPOP_BUTTON		"我国与该国签有整治与缩小污染的协议。"
TOOLTIP_DIPMAN_INTEL_TRTY_RPOP_BUTTON		"污染减量协议"
STATUSBAR_DIPMAN_INTEL_TRTY_CEASE_BUTTON	"我国与该国签有交战中止的停火条约。"
TOOLTIP_DIPMAN_INTEL_TRTY_CEASE_BUTTON		"停火条约"
STATUSBAR_DIPMAN_INTEL_TRTY_ALLY_BUTTON		"我国与该国为友好同盟关系。"
TOOLTIP_DIPMAN_INTEL_TRTY_ALLY_BUTTON		"同盟关系"
STATUSBAR_DIPMAN_INTEL_GOTO_TABLE_BUTTON	"按此钮以回到谈判窗口。"
TOOLTIP_DIPMAN_INTEL_GOTO_TABLE_BUTTON		"关闭"

# New Intel Screen Strings
TOOLTIP_DIPMAN_INTEL_REG_HOTWAR_BUTTON		"该国鄙视我国。"
TOOLTIP_DIPMAN_INTEL_REG_COLDWAR_BUTTON		"该国厌恶我国。"
TOOLTIP_DIPMAN_INTEL_REG_NEUTRAL_BUTTON		"该国尊敬我国。"
TOOLTIP_DIPMAN_INTEL_REG_FRIEND_BUTTON		"该国称赞我国。"
TOOLTIP_DIPMAN_INTEL_REG_ALLIED_BUTTON		"该国喜爱我国。"

TOOLTIP_DIPMAN_INTEL_TRUST_HOTWAR_BUTTON	"该国我国采取不信任态度。"
TOOLTIP_DIPMAN_INTEL_TRUST_COLDWAR_BUTTON	"该国对我国采取警戒态度。"
TOOLTIP_DIPMAN_INTEL_TRUST_NEUTRAL_BUTTON	"该国对我国采取谨慎态度。"
TOOLTIP_DIPMAN_INTEL_TRUST_FRIEND_BUTTON	"该国对我国采取信任态度。"
TOOLTIP_DIPMAN_INTEL_TRUST_ALLIED_BUTTON	"该国百分之百的信任我国。"

#	Create Proposal Window
STATUSBAR_DIPMAN_CREATE_SHOWADV_BUTTON		"按此钮以显示或隐藏外交顾问画面。"
TOOLTIP_DIPMAN_CREATE_SHOWADV_BUTTON		"显示/隐藏顾问"
STATUSBAR_DIPMAN_CREATE_GOTO_TABLE_BUTTON	"按此钮以回到谈判交涉画面。"
TOOLTIP_DIPMAN_CREATE_GOTO_TABLE_BUTTON		"回复谈判"
STATUSBAR_DIPMAN_CREATE_CLEARFORM_BUTTON	"清除表格内容。"
TOOLTIP_DIPMAN_CREATE_CLEARFORM_BUTTON		"重填表格"
STATUSBAR_DIPMAN_CREATE_EXIT_DIP_BUTTON		"按此钮以离开外交画面。"
TOOLTIP_DIPMAN_CREATE_EXIT_DIP_BUTTON		"离开外交画面"
STATUSBAR_DIPMAN_CREATE_SELECTCIV_BUTTON	"选择国家，进行外交谈判。"
TTOLTIP_DIPMAN_CREATE_SELECTCIV_BUTTON		"选择国家"
STATUSBAR_DIPMAN_CREATE_SELECTTONE_BUTTON	"选择外交谈判时的姿态。"
TOOLTIP_DIPMAN_CREATE_SELECTTONE_BUTTON		"选择态度"
STATUSBAR_DIPMAN_CREATE_SHOWREQ_BUTTON		"决定提案内容为送礼或签署条约等形式。"
TOOLTIP_DIPMAN_CREATE_SHOWREQ_BUTTON		"提案形式"
STATUSBAR_DIPMAN_CREATE_SHOWTRTY_BUTTON		"选择提出的条约内容。"
TOOLTIP_DIPMAN_CREATE_SHOWTRTY_BUTTON		"选择条约"
STATUSBAR_DIPMAN_CREATE_SHOWGIFT_BUTTON		"选择何种生产力做为馈赠礼品。"	
TOOLTIP_DIPMAN_CREATE_SHOWGIFT_BUTTON		"选择礼物"
STATUSBAR_DIPMAN_CREATE_CHOOSEREQ_DISPLAY	"选择本次提案的形式内容及要求。"
TOOLTIP_DIPMAN_CREATE_CHOOSEREQ_DISPLAY		"选择提案样式"
STATUSBAR_DIPMAN_CREATE_EXCHANGE_DISPLAY	"检视外交提案的不同部分。"
TOOLTIP_DIPMAN_CREATE_EXCHANGE_DISPLAY		"内容切换"
STATUSBAR_DIPMAN_CREATE_PROP_EMPTY_DISPLAY	"从左侧提议选单中，选择一项提议。"
TOOLTIP_DIPMAN_CREATE_PROP_EMPTY_DISPLAY	"选择协议"
STATUSBAR_DIPMAN_CREATE_PROP_FULL_DISPLAY	"送出文件，以宣示外交主张。"
TOOLTIP_DIPMAN_CREATE_PROP_FULL_DISPLAY		"发文"
STATUSBAR_DIPMAN_CREATE_ADD_RECIPIENT_DISPLAY	"选择外交协议的收信国。"
TOOLTIP_DIPMAN_CREATE_ADD_RECIPIENT_DISPLAY	"选择收信国"
STATUSBAR_DIPMAN_CREATE_RECIPIENT_DESC_DISPLAY	"Civ_Leader_Name，Civ_name_plural元首。"
TOOLTIP_DIPMAN_CREATE_RECIPIENT_DESC_DISPLAY	"收信者"
STATUSBAR_DIPMAN_CREATE_AND_BOX_DISPLAY		"外交协议的第二部份。"
TOOLTIP_DIPMAN_CREATE_AND_BOX_DISPLAY		"协议第二部分"
STATUSBAR_DIPMAN_CREATE_SENDPROP_BUTTON		"按此钮以送出外交协议。"
TOOLTIP_DIPMAN_CREATE_SENDPROP_BUTTON		"送出协议"

#	Diplomacy Advice Window
STATUSBAR_DIPMAN_ADVICE_RECOMMEND_DISPLAY	"听取外交顾问建议。"
TOOLTIP_DIPMAN_ADVICE_RECOMMEND_DISPLAY		"外交建议"
STATUSBAR_DIPMAN_ADVICE_LEADERPIC_DISPLAY	"显示[Civ_name]元首。"
TOOLTIP_DIPMAN_ADVICE_LEADERPIC_DISPLAY		"[Civ_Name]元首"

#	History Window
STATUSBAR_DIPMAN_HIST_RECVHIST_BUTTON	"按此钮以检视收到的外交协议记录。"
TOOLTIP_DIPMAN_HIST_RECVHIST_BUTTON	"协议收件记录"
STATUSBAR_DIPMAN_HIST_SHOWTEXT_BUTTON	"检视外交协议的内文。"
TOOLTIP_DIPMAN_HIST_SHOWTEXT_BUTTON	"协议内容"
STATUSBAR_DIPMAN_SENDHIST_BUTTON	"按此钮以检视发出的外交协议记录。"
TOOLTIP_DIPMAN_SENDHIST_BUTTON		"协议发文记录"

# The Great Big Stinkin' Library
STATUSBAR_GL_BACK_BUTTON		"按此钮以检视前个科技项目。"
TOOLTIP_GL_BACK_BUTTON			"后退"
STATUSBAR_GL_FORWARD_BUTTON		"按此钮以检视下个科技项目。"
TOOLTIP_GL_FORWARD_BUTTON		"前进"
STATUSBAR_GL_SHOWADV_BUTTON		"按此钮以检视科技清单。"
TOOLTIP_GL_SHOWADV_BUTTON		"科技"
STATUSBAR_GL_SHOWUNITS_BUTTON		"按此钮以检视部队清单。"
TOOLTIP_GL_SHOWUNITS_BUTTON		"部队"
STATUSBAR_GL_SHOWCITYIMP_BUTTON	"按此钮以检视城市设施清单。"
TOOLTIP_GL_SHOWCITYIMP_BUTTON		"城市设施"
STATUSBAR_GL_SHOWWONDERS_BUTTON	"按此钮以检视世界奇观清单。"
TOOLTIP_GL_SHOWWONDERS_BUTTON		"世界奇观"
STATUSBAR_GL_SHOWTERRAIN_BUTTON	"按此钮以检视地形清单。"
TOOLTIP_GL_SHOWTERRAIN_BUTTON		"地形"
STATUSBAR_GL_SHOWGOODS_BUTTON		"按此钮以检视货物清单。"
TOOLTIP_GL_SHOWGOODS_BUTTON		"货物"
STATUSBAR_GL_SHOWTILEIMP_BUTTON	"按此钮以检视公共建设清单。"
TOOLTIP_GL_SHOWTILEIMP_BUTTON		"公共建设"
STATUSBAR_GL_SHOWGOVS_BUTTON		"按此钮以检视政体清单。"
TOOLTIP_GL_SHOWGOVS_BUTTON		"政体"
STATUSBAR_GL_SHOWSPECIAL_BUTTON	"按此钮以检视部队清单。"
TOOLTIP_GL_SHOWSPECIAL_BUTTON		"部队指令"
STATUSBAR_GL_SHOWCONCEPTS_BUTTON	"按此钮以检视概念清单。"
TOOLTIP_GL_SHOWCONCEPTS_BUTTON	"游戏概念"
STATUSBAR_GL_ENTERSEARCH_BUTTON	"输入关键词词，以找寻搜寻目标。"
TOOLTIP_GL_ENTERSEARCH_BUTTON		"输入搜寻文字"
STATUSBAR_GL_SEARCHTEXT_BOX_DISPLAY	"输入关键词词，以找寻搜寻目标。"
TOOLTIP_GL_SEARCHTEXT_BOX_DISPLAY	"输入搜寻文字"
STATUSBAR_GL_STATSBOX_DISPLAY		"显示各项属性指数。"
TOOLTIP_GL_STATSBOX_DISPLAY		"属性"
STATUSBAR_GL_GAMEPLAY_TAB_BUTTON	"检视这项目在游戏中有何功能及效用。"
TOOLTIP_GL_GAMEPLAY_TAB_BUTTON	"游戏功用"
STATUSBAR_GL_HISTORY_TAB_BUTTON	"阅读这事物的历史由来。"
TOOLTIP_GL_HISTORY_TAB_BUTTON		"历史资料"
STATUSBAR_GL_TECHTREE_TAB_BUTTON	"检视科技树状图。"
TOOLTIP_TECHTREE_TAB_BUTTON		"科技树"
STATUSBAR_GL_CLOSE_BUTTON		"结束大图书馆。"
TOOLTIP_GL_CLOSE_BUTTON			"关闭"

# Ranking Screen
STATUSBAR_RANKSCRN_YEARTURN_TOGGLE_BUTTON		"切换以年份或回合为计时标准。"
TOOLTIP_RANKSCRN_YEARTURN_TOGGLE_BUTTON     "年份/回合切换钮"
STATUSBAR_RANKSCRN_SELECT_MEASURE_DISPLAY		"选择排名标准，观看各文明的排行先后。"
TOOLTIP_RANKSCRN_SELECT_MEASURE_DISPLAY		"排名标准"
STATUSBAR_RANKSCRN_CLOSE_BUTTON			"按此钮以结束排行榜。"
TOOLTIP_RANKSCRN_CLOSE_BUTTON				"关闭"


