#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Main string file (Chinese Simple)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the main strings.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved build list sequence strings to gl_str.txt.
#   - April 7th 2005 Martin Gühmann
# - Added str_ldl_OptimizeSpecialists string - April 7th 2005 Martin Gühmann 
# - Added str_ldl_DD_OPTIMIZE_SLIDERS for sliders optimization button. 
#   - April 9th 2005 Martin Gühmann
# - Moved Great Libary title string from add_str.txt. - April 9th 2005 Martin Gühmann
# - Added battleview window strings for attack building bonuses, and modified
#   new combat names. - 07-Mar-2009 Maq
# - Added new strings for redesigned City Window. - 28-Mar-2009 Maq
# - Added strings for political map - 6-Jul-2009 EPW
# - Added new strings for redesigned empire manager. - 22-Jul-2009 Maq
# -Added strings for view capital buttons - 4-Jan-EPW
# -Added string for relationships 7-Jan-EPW
#----------------------------------------------------------------------------

##Those darn hard-coded strings 03-09-99
str_ldl_Already_Offer	"已提供特产，要变更吗？"
str_tbl_ldl_GIFT_ADVANCE	"把科技当成礼物"
str_tbl_ldl_GIFT_GOLD	"赠与黄金"
str_tbl_ldl_Gigantic_128_96	"巨型－128-96"
str_tbl_ldl_gold_for_selling_the	"这黄金是来自贩卖所得"
str_tbl_ldl_GOVERNMENT_COLON	"政府型态："
str_tbl_ldl_Handicapping_Off	"『平衡』模式－关闭"
str_tbl_ldl_Handicapping_On	"『平衡』模式－开启"
str_tbl_ldl_Happiness_Status	"快乐度状态"
str_tbl_ldl_INDEX	"索引"
str_tbl_ldl_Info_Screen	"排名"
str_tbl_ldl_INSTANT	"立即的"
str_tbl_ldl_INTELLIGENCE	"智能"
str_tbl_ldl_INVENTORY	"物品栏"
str_tbl_ldl_Investigate_City	"侦察城市"
str_tbl_ldl_Invul_Trade_On	"海盗行为－开启"
str_tbl_ldl_Invul_Trade_Off	"海盗行为－关闭"
str_tbl_ldl_King	"国王"
str_tbl_ldl_Large	"大型"
str_tbl_ldl_Large_96x64	"大型"
str_tbl_ldl_Launch	"发射"
str_tbl_ldl_LEADERS_NAME_COLON	"领导者的姓名:"
str_tbl_ldl_Legal	"合法的"
str_tbl_ldl_Load_Game	"读取进度"
str_tbl_ldl_LOAD_MAP	"读取地图"
str_tbl_ldl_LOAD_MP_GAME	"读取多人联机游戏"
str_tbl_ldl_Load_Now	"现在开始读取"
str_tbl_ldl_LOAD_PBEM_GAME	"关卡"
str_tbl_ldl_LOAD_TEMPLATE	"读取样板"
str_tbl_ldl_load_without_saving	"如果在没有先储存进度的状况下读取游戏，\n那你将会丧失这个游戏进度。"
str_tbl_ldl_Lock_Unit_Stack	"锁定部队堆栈"
str_tbl_ldl_MAKE_DEMAND	"要求"
str_tbl_ldl_Male	"男性"
str_tbl_ldl_Map_Folders	"地图资料夹"
str_tbl_ldl_Maps	"地图"
str_tbl_ldl_Medium	"平常的"
str_tbl_ldl_Medium_48x64	"平常的"
str_tbl_ldl_MILITARY_READINESS_COLON	"军备状态："
str_tbl_ldl_Move_East	"移动至东边"
str_tbl_ldl_Move_North	"移动至北边"
str_tbl_ldl_Move_Northeast	"移动至东北边"
str_tbl_ldl_Move_Northwest	"移动至西北边"
str_tbl_ldl_Move_South	"移动至南边"
str_tbl_ldl_Move_Southeast	"移动至东南边"
str_tbl_ldl_Move_Southwest	"移动至西南边"
str_tbl_ldl_Move_West	"移动至西边"
str_tbl_ldl_Move_Up_Or_Down	"向上或向下移动"
str_tbl_ldl_UnitCityToggle	"部队/城市之间切换"
str_tbl_ldl_MP_Games	"多人联机游戏"
str_tbl_ldl_MP_Saves	"多人联机储存"
str_tbl_ldl_Nano_Terror	"微生物攻击"
str_tbl_ldl_NEGATIVE_HAPPINESS	"负面的快乐度"
str_tbl_ldl_Next_Turn	"下一个回合"
str_tbl_ldl_Next_UnitCity	"下一个部队/城市"

str_tbl_ldl_No_Available_Caravans	"没有可用的商队！"
str_tbl_ldl_no_required_Advance	"城市已经不在需要任何增强设施了！"
str_tbl_ldl_Normal	"正常的"
str_tbl_ldl_North_South_and_East_West	"南北与东西"
str_tbl_ldl_Nothing_Building	"没有可建造的"
str_tbl_ldl_NP	"NP"
str_tbl_ldl_ON_ALERT	"警戒"
str_tbl_ldl_Open_City_Status	"开启城市状态"
str_tbl_ldl_Open_City_View	"开启城市视野"
str_tbl_ldl_Open_Civ_Status	"开启文明状态"
str_tbl_ldl_Open_Diplomacy	"开启外交状态"
str_tbl_ldl_Open_Great_Library	"开启大图书馆"
str_tbl_ldl_Open_Info_Screen	"开启排名画面"
str_tbl_ldl_Open_Options_Screen	"开启选项画面"
str_tbl_ldl_Open_Science_Status	"开启科技状态"
str_tbl_ldl_Open_Trade_Status	"开启贸易状态"
str_tbl_ldl_Open_Unit_Status	"开启部队状态"
str_tbl_ldl_Open_Work_View	"开启『工作情形』"
str_tbl_ldl_Paradrop	"跳伞"
str_tbl_ldl_Pause_Game	"暂停游戏"
str_tbl_ldl_PERSONALITY_TYPE_COLON	"个性类别："
str_tbl_ldl_Pillage	"掠夺"
str_tbl_ldl_Plant_Nuke	"布置核武"
str_tbl_ldl_POLLUTERS	"污染者"
str_tbl_ldl_Pollution_Off	"污染模式－关闭"
str_tbl_ldl_Pollution_On	"污染模式－开启"
str_tbl_ldl_Pop	"污染"
str_tbl_ldl_POSITIVE_HAPPINESS	"正面的快乐度"
str_tbl_ldl_Prince	"王子"
str_tbl_ldl_Private	"私人的"
str_tbl_ldl_Public	"公开的"
str_tbl_ldl_QUEUE	"程序"
str_tbl_ldl_Quit_Now	"现在结束"
str_tbl_ldl_quit_without_saving	"如果在没有先储存进度的状况下结束游戏，\n那你将会丧失这个游戏进度。"
str_tbl_ldl_Random	"随机"
str_tbl_ldl_REQUEST	"交换"
str_tbl_ldl_RESPONSE	"反应"
str_tbl_ldl_Restart_Now	"现在重新开始"
str_tbl_ldl_restart_without_saving	"如果在没有先储存进度的状况下重新开始游戏，\n那你将会丧失这个游戏进度。"
str_tbl_ldl_Return_to_normal	"回到正常"
str_tbl_ldl_RUSH_BUY	"快速购买"
str_tbl_ldl_Save_Game	"储存游戏"
str_tbl_ldl_SAVE_MAP	"储存地图"
str_tbl_ldl_Saves	"储存"
str_tbl_ldl_Seconds_Per_Turn_COLON	"每一回合的秒数："
str_tbl_ldl_SEND	"运送"
str_tbl_ldl_SEND_GREETINGS	"欢迎"
str_tbl_ldl_SEND_REQUEST	"要求"
str_tbl_ldl_Settle	"设立"
str_tbl_ldl_Skip_Unit	"跳过部队"
str_tbl_ldl_Sleep	"睡眠状态"
str_tbl_ldl_Small	"小型"
str_tbl_ldl_Small_32x48	"小型"
str_tbl_ldl_Speed_Turns	"回合速度"
str_tbl_ldl_Team	"团队"
str_tbl_ldl_Teams_Off	"团队模式－关闭"
str_tbl_ldl_Teams_On	"团队模式－开启"
str_tbl_ldl_Tile	"区域"
str_tbl_ldl_TO_THE_COLON	"到："
str_tbl_ldl_TOTAL_CLEANING	"所有干净地区"
str_tbl_ldl_TOTAL_NEGATIVE	"所有扣分"
str_tbl_ldl_TOTAL_POLLUTION	"所有污染"
str_tbl_ldl_TOTAL_POSITIVE	"所有加分"
str_tbl_ldl_Trade_Off	"贸易模式－关闭"
str_tbl_ldl_Trade_On	"贸易模式－开启"
str_tbl_ldl_Trade_Route_Established	"贸易路线建立。"
str_tbl_ldl_Trade_Route_path_has_been_reset	"贸易路线已经被重新设定。"
str_tbl_ldl_Trade_Status	"贸易状态"
str_tbl_ldl_TREATY	"协议"
str_tbl_ldl_TREATY_ALLIANCE	"签署联盟协议"
str_tbl_ldl_TREATY_CEASE_FIRE	"签署和平协议"
str_tbl_ldl_TREATY_ECOPACT	"签署环保协议"
str_tbl_ldl_TREE	"分支"
str_tbl_ldl_UNDISCOVERED_ADVANCES_KNOWN_COLON	"未发现已知科技"
str_tbl_ldl_Unit	"部队"
str_tbl_ldl_Unit_Status	"部队状态"
str_tbl_ldl_Unload_Transport	"下载运输物"
str_tbl_ldl_Unlock_Unit_Stack	"解除锁定部队堆栈"

str_tbl_ldl_Very_Large	"巨型"

str_tbl_ldl_Warlord	"将军"
str_tbl_ldl_Wonder	"世界奇观"
str_tbl_ldl_You_will_receive	"你将获得"
str_tbl_ldl_Your_Intent_to_Purchase_has_been_Sent	"你欲购买的货物已经开始运送。"
str_tbl_ldl_Zoom_in_one_level	"放大一级"
str_tbl_ldl_Zoom_out_one_level	"缩小一级"
str_ldl_CAPS_MUSIC  "音乐"
str_ldl_Select_Track	"选择曲目"
str_ldl_CAPS_SELECT_TRACK	"选择曲目"
str_tbl_ldl_Auto_Repeat_On	"自动重复服务开启"
str_tbl_ldl_Auto_Repeat_Off	"自动重复服务关闭"
str_tbl_ldl_Random_Order_On	"随机模式开启"
str_tbl_ldl_Random_Order_Off  "随机模式关闭"
str_ldl_Fuel_COLON  "燃料："

### New World Shape Strings ###

str_tbl_ldl_North_South_Wrap_Only			"南北连通"
str_ldl_North_and_South_edges_of_the_map_connect	"地图的南北边缘相连接"
str_ldl_Uranus_World					"天王星世界"
str_tbl_ldl_Uranus_World				"天王星的世界"

### New Single Player Game Player Screen Strings ###

str_ldl_SPNGPS_NumPlayerSpinner			"玩家数量"
str_ldl_SPNGPS_MaxPlayerSpinner			"最大玩家数量"
str_ldl_SPNGPS_PlayerSpinner			"起始玩家"

str_ldl_SPNGPS_NumPlayerText			"设定新游戏中玩家的数量"
str_ldl_SPNGPS_MaxPlayerText			"设定游戏中同时出现玩家的最大数量"
str_ldl_SPNGPS_PlayerText			"设定起始玩家，决定派系颜色"

### Added Disclaimer Strings ###

str_ldl_Disclaimer1				"此版本非由ACTIVISION开发，亦无支持"
str_ldl_Disclaimer2				"此版本的权倾天下2由 http://apolyton.net 开发"
str_ldl_Disclaimer3				"作者电邮 ctp2source@apolyton.net"

### Version String ###

str_ldl_version					"2004-07-26"


###   DO NOT TRANSLATE   #############################################################################################

#Number Junk#
str_ldl_  ""
str_ldl_0	"0"
str_ldl_1	"1"
str_ldl_10	"10"
str_ldl_100	"100"
str_ldl_1000_G	"1000 G"
str_ldl_15	"15"
str_ldl_2	"2"
str_ldl_25	"25"
str_ldl_3	"3"
str_ldl_3_PERCENT	"3%"
str_ldl_4	"4"
str_ldl_475	"475"
str_ldl_5	"5"
str_ldl_50	"50"
str_ldl_500	"500"
str_ldl_6	"6"
str_ldl_7	"7"
str_ldl_8	"8"


str_tbl_ldl_upba5012_tga	"upba5012.tga"
str_tbl_ldl_upba5013_tga	"upba5013.tga"
str_tbl_ldl_upba5014_tga	"upba5014.tga"

## branch icons
str_tbl_ldl_upk100.tga	"upk100.tga"
str_tbl_ldl_upk101.tga	"upk101.tga"
str_tbl_ldl_upk102.tga	"upk102.tga"
str_tbl_ldl_upk103.tga	"upk103.tga"
str_tbl_ldl_upk104.tga	"upk104.tga"
str_tbl_ldl_upk105.tga	"upk105.tga"
str_tbl_ldl_upk106.tga	"upk106.tga"
str_tbl_ldl_upk107.tga	"upk107.tga"
str_tbl_ldl_upk108.tga	"upk108.tga"
str_tbl_ldl_upk109.tga	"upk109.tga"
str_tbl_ldl_upk110.tga	"upk110.tga"
str_tbl_ldl_upk111.tga	"upk111.tga"


# Junk 1 #
str_ldl_Ai_Track	"人工智能轨迹"
str_ldl_Accept	"同意"
str_ldl_AF	"AF"
str_ldl_Air	"空中"
str_ldl_Assign	"支配"
str_ldl_Blah	"呸"
str_ldl_BR	"BR"
str_ldl_Building_Label	"建筑物等级"
str_ldl_Automate_Research_To_Find	"自动研究以寻找"
str_ldl_Available_Abilities	"可用的能力"
str_ldl_BASIC_COMMANDS	"基本命令"
str_ldl_BASKET_WEAVING	"收网"
str_ldl_Bouncing_Message	"额外讯息"
str_ldl_Brightness	"明亮度"
str_ldl_CAPS_CARBON_DIOXIDE	"二氧化碳"
str_ldl_CAPS_OK	"是的"
str_ldl_CAPS_OZONE	"臭氧"
str_ldl_CAPS_RETURN	"返回"
str_ldl_CAPS_SEARCH	"寻找"
str_ldl_CAPS_SPECIAL	"特殊的"

# Junk2 #
str_ldl_Carbon_Dioxide	"二氧化碳"
str_ldl_Cautious	"小心的"
str_ldl_Character	"角色"
str_ldl_Class	"类别"
str_ldl_CLEAR_ALL	"将所有清除"
str_ldl_Clear_All_Orders	"清除所有命令"
str_ldl_CLEAR_ORDERS	"清除命令"
str_ldl_CLOSE_BRACKET	">"
str_ldl_co	"co"
str_ldl_col1	"col1"
str_ldl_col2	"col2"
str_ldl_col3	"col3"
str_ldl_col4	"col4"
str_ldl_Cold	"寒冷的"
str_ldl_Color	"颜色"
str_ldl_CONCEPT	"观念"
str_ldl_Contrast	"条约"
str_ldl_Copy	"拷贝"
str_ldl_cu	"cu"
str_ldl_Cunning	"精明的"
str_ldl_Current_Advancements	"目前的科技进度"
str_ldl_Current_Age	"目前年代"
str_ldl_Current_Age_COLON	"目前年代："
str_ldl_CURRENT_GOVERNMENT_COLON	"目前政府型态："
str_ldl_Current_Lobby_COLON	"目前大厅："
str_ldl_Current_Setting	"目前设定"
str_ldl_Current_Supply	"目前支持"
str_ldl_demand_a_map	"你要求一张你尚未踏经的陆地地图"
str_ldl_Deplorable	"可悲的"
str_ldl_Debug_version	"最后版本里并不包含侦错版本。"
str_ldl_Defense_COLON	"防御："
str_ldl_d	"d"
str_ldl_Description_COLON	"描述："
str_ldl_DF	"DF"
str_ldl_DISCONTENT	"不满意的"
str_ldl_Dumb	"驽钝的"
str_ldl_Elite_Corps	"精锐的企业"
str_ldl_Email_COLON	"Email："
str_ldl_Embassies_With_These_Civilizations	"与这些文明帝国互设领事："
str_ldl_Enter_Text	"键入文字"
str_ldl_Estimated_Power_COLON	"预估权力：你真是他$@^&*(的"
str_ldl_F	"F"
str_ldl_Exit	"结束"
str_ldl_Flat_World	"平坦的世界"
str_ldl_Great_Library_Animation	"大图书馆动画"
str_ldl_Gross_Gold	"收取黄金"
str_ldl_Gross_Product	"收取商品"
str_ldl_Gross_Production	"收取物资"
str_ldl_I	"我"
str_ldl_Icon	"图标"
str_ldl_Kill_Offer	"除去提议"
str_ldl_M	"M"
str_ldl_M_Cost	"M.成本"
str_ldl_Last_Actions_Cost	"上一次行动的成本"
str_ldl_Last_Graph	"上一个画面"
str_ldl_Last_Page	"上一页"
str_ldl_Last_Section	"上个区域"
str_ldl_Last_Turn	"上一回合"
str_ldl_Fought_Last_Turn	"上一次发生战斗的回合"
str_ldl_Global_Warming	"全球温室效应"
str_ldl_Global_Warmining	"全球温室效应中"
str_ldl_Go_To	"移动到"
str_ldl_Go_to_airport	"移动到航空站"
str_ldl_Go_to_city	"移动到城市"
str_ldl_GO_TO_COLON	"移动到："
str_ldl_Go_to_drydock	"移动到干坞"
str_ldl_Go_to_fort	"移动到碉堡"
str_ldl_Go_To_Nearest_Repair	"移动到最近的修护处"
str_ldl_Go_to_spacedock	"移动到宇宙飞船坞"
str_ldl_Gamma	"加码"
str_ldl_Grunt	"粗鲁的"
str_ldl_GrwothStyle	"成长模式"
str_ldl_Less_Messages	"最少讯息"
str_ldl_Maximum_Research_COLON	"研究最大化："
str_ldl_List	"名单"
str_ldl_Make_Draggable	"变成可拖曳的"
str_ldl_Make_Queue	"制造程序"
str_ldl_Make_Transparent	"变成可透视的"
str_ldl_New	"新的"
str_ldl_New_Food	"新食物"
str_ldl_Max_Science	"科技最大化"
str_ldl_MICRO	"微"
str_ldl_Net_Average	"净平均"
str_ldl_Net_Food	"净食物"
str_ldl_Net_Gold	"净单位的黄金"
str_ldl_Net_Production	"净物资"
str_ldl_Next_Graph	"下一个画面"
str_ldl_Next_Page	"下一步"
str_ldl_More_Messages	"更多的讯息"
str_ldl_No_Danger_Here	"此处没有危险"
str_ldl_No_wrapping	"没有东西边或南北边相连的设定"
str_ldl_Note_COLON	"注意："
str_ldl_p	"p"
str_ldl_PERCENT_Production	"% 物资"
str_ldl_PERCENTs_Game	"%s 的游戏"
str_ldl_PLAY_TUTORIAL	"进入教学模式"
str_ldl_Ozone	"臭氧"
str_ldl_Ozone_Loss	"臭氧流失"
str_ldl_Messaging_Advisors	"讯息顾问"
str_ldl_Next_Section	"下一个区域"
str_ldl_Patrol	"巡逻"
str_ldl_Obj_Editor	"对象编辑器"
str_ldl_Pay	"付"
str_ldl_Player_3_Caesar	"玩家三－凯萨"
str_ldl_Please_choose_connection	"请为你的多人联机游戏设定联机方式。"
str_ldl_PLUS	"-"
str_ldl_PLUS_10_PERCENT_Food	"+10%单位的食物"
str_ldl_PLUS_10_PERCENT_Gold	"+10%单位的黄金"
str_ldl_PLUS_10_PERCENT_Production	"+10单位的物资"
str_ldl_PLUS_10_PERCENT_Public_Works	"+10单位的公共建设"
str_ldl_PLUS_10_PERCENT_Science	"+10单位的科技"
str_ldl_PLUS_20_PERCENT_Food	"+20单位的食物"
str_ldl_PLUS_20_PERCENT_Gold	"+20%单位的黄金"
str_ldl_PLUS_20_PERCENT_Production	"+20单位的物资"
str_ldl_PLUS_20_PERCENT_Public_Works	"+20单位的公共建设"
str_ldl_PLUS_20_PERCENT_Science	"+20单位的科技"
str_ldl_Points_Rec	"需要的点数"
str_ldl_Points_Remaining	"剩下的点数"
str_ldl_Points_Used	"使用的点数"
str_ldl_Radio_Group	"收音群组"
str_ldl_Materials_	"物质"
str_ldl_Load_Preferences	"读取参考资料"
str_ldl_Pollute	"污染"
str_ldl_LABOR	"劳工"
str_ldl_Protective	"保护的"
str_ldl_Reset	"重设"
str_ldl_RECEIVE	"获得"
str_ldl_Return	"返回"
str_ldl_Returns_X_Trade	"返回X贸易"
str_ldl_Riot_Chance	"暴动机率"
str_ldl_Roman_Empire	"罗马帝国"
str_ldl_s	"s"
str_ldl_Sad	"伤心的"
str_ldl_Save_as_InstaStart	"储存成立即开启的进度"
str_ldl_Search	"寻找"
str_ldl_Select	"选择"
str_ldl_SF	"SF"
str_ldl_STRING_UI_TEST	"STRING_UI_TEST"
str_ldl_Strongly_Modal	"较强的样式"
str_ldl_Simple_Combat	"简化的战斗"
str_ldl_Text_at_run_time	"该文字将会设定成以实时状态显示"
str_ldl_Text_Desc	"Text Desc"
str_ldl_Roman	"罗马"
str_ldl_ROMANS	"罗马人"
str_ldl_Send_To	"赠送给"
str_ldl_Send_Unit_to_City_COLON	"赠送单位给城市："
str_ldl_Treaty_Alliance	"协议联盟条约"
str_ldl_Treaty_Capture_City	"协议占领城市"
str_ldl_Treaty_Cease_Fire	"签署和平协议"
str_ldl_Treaty_EcoPact	"协议环保协议"
str_ldl_Submit	"同意"
str_ldl_TEN_HYPHENS	"-----------"
str_ldl_Time_	"时间"
str_ldl_TITLE	"尊号"
str_ldl_this_text_at_run_time	"该文字将会设定成以实时状态显示"
str_ldl_TO_CAPITAL	"到首府"
str_ldl_Teleport	"运输"
str_ldl_Traders_XY	"贸易商人X/Y"
str_ldl_Turn_PERCENTd	"回合%d"
str_ldl_Rustle	"沙沙作响"
str_ldl_Style	"风格"
str_ldl_ug029_tga	"ug029.tga"
str_ldl_Type_Player_Info	"请在此处键入你想要让别的玩家知道有关于你的信息。警告：这些信息对其他在线上的玩家要联机时是十分管用的！请确定你要让这些资料公开。"
str_ldl_Unhappiness_Effect	"不快乐度的影响"
str_ldl_Unhappy	"不快乐"
str_ldl_UNIT_HAPPINESS_EFFECTS	"单位快乐度的影响力"
str_ldl_Start_End_Ages	"开始/结束年代"
str_ldl_Sorry_the_tribe_you_selected_is_already_taken	"抱歉，你所选的族群已经被别人先选去了。"
str_ldl_Unit_Lost_Warning	"损失部队的警告"
str_ldl_UV	"紫外线强度"
str_ldl_V	"V"
str_ldl_Weakly_Modal	"较弱的样式"
str_ldl_Which_city	"你要对哪座城市提出你的要求呢？"
str_ldl_You_have_launched_the_Game	"你已经开始游戏了"
str_ldl_Youve_been_denied	"你已经被拒绝了。"
str_ldl_Youve_either_won_or_lost	"你不是嬴就是输！"
str_tbl_ldl_0	""
str_tbl_ldl_9	"9"
str_tbl_ldl_10	"10"
str_ldl_Warning	"警告！"
str_ldl_UNITS_TO_TRANSPORT	"部队作为运输之用"
str_ldl_UNITS_IN_CITY	"部队在城市中"
str_ldl_Wonder_Movies	"世界奇观影片"
str_tbl_ldl_1024x768	"1024x768"
str_tbl_ldl_12	"12"
str_tbl_ldl_1280x1024	"1280x1024"
str_tbl_ldl_1600x1200	"1600x1200"
str_tbl_ldl_640x480	"640x480"
str_tbl_ldl_800x600	"800x600"
str_tbl_ldl_A	"A"
str_tbl_ldl_Ability	"能力"
str_tbl_ldl_AD	"AD"
str_tbl_ldl_arialbd_ttf	"Mingliu.ttc"
str_tbl_ldl_arialnb_ttf	"Mingliu.ttc"
str_tbl_ldl_B	"B"
str_tbl_ldl_BC	"BC"
str_tbl_ldl_C	"C"
str_tbl_ldl_AssaultButton	"AssaultButton"
str_tbl_ldl_BombardButton	"BombardButton"
str_tbl_ldl_BombCabinetButton	"BombCabinetButton"
str_tbl_ldl_AdvertiseButton	"AdvertiseButton"
str_tbl_ldl_AidUprisingButton	"AidUprisingButton"
str_tbl_ldl_Are_you_sure	"你确定要这要做吗？"
str_tbl_ldl_CaptureSlavesButton	"CaptureSlavesButton"
str_tbl_ldl_Cecilias_Blade_Runner	"塞利亚的银翼杀手"
str_tbl_ldl_Center_Map_on_UnitCity	"将部队城市移到地图中心"
str_tbl_ldl_ConductHitButton	"ConductHitButton"
str_tbl_ldl_ConvertCityButton	"ConvertCityButton"
str_tbl_ldl_Clear_Mines	"清除矿山"
str_tbl_ldl_CreateParkButton	"CreateParkButton"
str_tbl_ldl_CreateRiftButton	"CreateRiftButton"
str_tbl_ldl_BranchButton	"BranchButton"
str_tbl_ldl_D	"D"
str_tbl_ldl_CargoButton	"CargoButton"
str_tbl_ldl_CloakButton	"CloakButton"
str_tbl_ldl_DefuseButton	"DefuseButton"
str_tbl_ldl_DEMAND_CITY	"要求城市"
str_tbl_ldl_DescendButton	"DescendButton"
str_tbl_ldl_Detrench	"拆除防御工事"
str_tbl_ldl_E	"E"
str_tbl_ldl_EstablishEmbassyButton	"EstablishEmbassyButton"
str_tbl_ldl_ExpelButton	"ExpelButton"
str_tbl_ldl_F	"F"
str_tbl_ldl_EXCHANGE_CITY	"交易城市"
str_tbl_ldl_FileInjunctionButton	"FileInjunctionButton"
str_tbl_ldl_FIVE_HYPHENS	"-----"
str_tbl_ldl_Flat_World	"平坦的世界"
str_tbl_ldl_GoToButton	"GoToButton"
str_tbl_ldl_FortifyButton	"FortifyButton"
str_tbl_ldl_FreeSlaveButton	"FreeSlaveButton"
str_tbl_ldl_G	"G"
str_tbl_ldl_Great_Library_Biowarfare_Filter	"大图书馆－生化战争滤清器"
str_tbl_ldl_Great_Library_Cathedral	"大图书馆－大教堂"
str_tbl_ldl_Great_Library_Cleric	"大图书馆－牧师"
str_tbl_ldl_Great_Library_Consumer_Electronics	"大图书馆－消费者电子学"
str_tbl_ldl_Great_Library_Corporate_Branch	"大图书馆－企业分支机构"
str_tbl_ldl_Great_Library_Eco_Terrorist	"大图书馆－生化恐怖分子"
str_tbl_ldl_Great_Library_Ecotopia	"大图书馆－生态主义"
str_tbl_ldl_Great_Library_Genetics	"大图书馆－基因学"
str_tbl_ldl_Great_Library_Global_Defense_Initiative	"大图书馆－全球防卫组织"
str_tbl_ldl_Great_Library_House_of_Freezing	"大图书馆－冷冻坊"
str_tbl_ldl_Great_Library_Infector	"大图书馆－散播者"
str_tbl_ldl_Great_Library_Lawyer	"大图书馆－律师"
str_tbl_ldl_Great_Library_Life_Extension	"大图书馆－生命延长技术"
str_tbl_ldl_Great_Library_Multinationalism	"大图书馆－多国国家主义"
str_tbl_ldl_Great_Library_Personal_Encryption	"大图书馆－个人密码"
str_tbl_ldl_Great_Library_Printing_Press	"大图书馆－出版社"
str_tbl_ldl_Great_Library_Screen	"大图书馆画面"
str_tbl_ldl_Great_Library_Subneural_Ads	"大图书馆－潜意识广告"
str_tbl_ldl_Great_Library_Technocracy	"大图书馆－工业"
str_tbl_ldl_Great_Library_Televangelist	"大图书馆－电视福音传道员"
str_tbl_ldl_Great_Library_Television	"大图书馆－电视"
str_tbl_ldl_Great_Library_Theocracy	"大图书馆－神权统治"
str_tbl_ldl_Great_Library_Virtual_Democracy	"大图书馆－虚拟民主主义"
str_tbl_ldl_Great_Library_Wilderness_Preservation	"大图书馆－土地保护"
str_tbl_ldl_hrs	"hrs"
str_tbl_ldl_InciteRevolutionButton	"InciteRevolutionButton"
str_tbl_ldl_HearGossipButton	"HearGossipButton"
str_tbl_ldl_GroupButton	"GroupButton"
str_tbl_ldl_InfectCityButton	"InfectCityButton"
str_tbl_ldl_Hard	"困难"
str_tbl_ldl_Hardest	"最困难"
str_tbl_ldl_Investigate_Readiness	"调查军事准备状态"
str_tbl_ldl_Kings_Quest_Peachy	"国王密使桃子"
str_tbl_ldl_Knowledge_Status	"知识状态"
str_tbl_ldl_Leisure_Suit_Larrys_Home	"幻想空间之屋"
str_tbl_ldl_GIFT_CITY	"赠与城市"
str_tbl_ldl_LaunchButton	"LaunchButton"
str_tbl_ldl_MoveButton	"MoveButton"
str_tbl_ldl_NextPageButton	"NextPageButton"
str_tbl_ldl_No_workers_left_to_place	"没有工人留在此地！"
str_tbl_ldl_upba0515_tga	"upba0515.tga"
str_tbl_ldl_upba0516_tga	"upba0516.tga"
str_tbl_ldl_upba0517_tga	"upba0517.tga"
str_tbl_ldl_upba0518_tga	"upba0518.tga"
str_tbl_ldl_upba0519_tga	"upba0519.tga"
str_tbl_ldl_upba0520_tga	"upba0520.tga"
str_tbl_ldl_upba0521_tga	"upba0521.tga"
str_tbl_ldl_upba0522_tga	"upba0522.tga"
str_tbl_ldl_upba0506_tga	"upba0506.tga"
str_tbl_ldl_upba0513_tga	"upba0513.tga"
str_tbl_ldl_No_Danger_Here	"此处并无危险"
str_tbl_ldl_No_Wrap	"东西边或南北边并无相连"
str_tbl_ldl_None	"无"
str_tbl_ldl_Not_Too_Bad	"不算太坏"
str_tbl_ldl_Nullify_Walls	"中和城墙"
str_tbl_ldl_ParadropButton	"ParadropButton"
str_tbl_ldl_PatrolButton	"PatrolButton"
str_tbl_ldl_PBEM_Games	"PBEM游戏"
str_tbl_ldl_PBEM_Saves	"PBEM存盘"
str_tbl_ldl_ReadButton	"ReadButton"
str_tbl_ldl_ReformCityButton	"ReformCityButton"
str_tbl_ldl_ReMap_Keyboard	"重新设定键盘对应"
str_tbl_ldl_PillageButton	"PillageButton"
str_tbl_ldl_PiracyButton	"PiracyButton"
str_tbl_ldl_PlantNanoVirusButton	"PlantNanoVirusButton"
str_tbl_ldl_PlantNukeButton	"PlantNukeButton"
str_tbl_ldl_Play_Options	"游戏选项"
str_tbl_ldl_Pretty_Safe	"十分安全"
str_tbl_ldl_Risky	"有危机的"
str_tbl_ldl_Roman	"罗马"
str_tbl_ldl_Rustle	"沙沙作声"
str_tbl_ldl_RustleButton	"RustleButton"
str_tbl_ldl_Sabotage_Building	"破坏建筑物"
