#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains diplomacy and advisor strings (Spanish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the diplomacy and advisor strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Sychronized files between languages.
#
#----------------------------------------------------------------------------

## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE				"Esta nación aún no ha olvidado su derrota en el combate con nosotros."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_2			"Te ofrecemos un tributo de {gold[0].value} a cada momento. Esperamos que esta garantía de recursos nos haga gozar del favor de tu país."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_3			"Te ofrecemos un tributo de {gold[0].value} de oro en cada turno."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_4			"Te garantizaremos un tributo de {gold[0].value} de oro en cada turno."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_0			"A cambio, te daremos un tributo de {gold[0].value} de oro en cada turno, para que tu imperio pueda avanzar."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_1			"A cambio, ofrecemos con mucho gusto un tributo de {gold[0].value} de oro en cada turno, para un país tan querido como el tuyo." 
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_2			"A cambio, ofrecemos respetuosamente un tributo de {gold[0].value} de oro en cada turno. Esperamos que sea de tu agrado."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_3			"A cambio, desembolsaremos {gold[0].value} de oro en cada turno. Como tributo, es más que suficiente."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_4			"A cambio, te daremos un tributo de {gold[0].value} de oro en cada turno. ¡Apenas eres digno de tanta generosidad!" 
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_0			"Pedimos un tributo de {gold[0].value} de oro en cada turno. Tu consideración entre nosotros aumentará bastante."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_1			"Te pedimos que pagues un tributo de {gold[0].value} de oro en cada turno, para que nuestro país pueda disfrutar la prosperidad. Lo pedimos con espíritu de buena voluntad y amistad."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_2			"Pedimos con humildad un tributo de {gold[0].value} de oro en cada turno. Ten clemencia en estos momentos de necesidad." 
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_3			"Necesitamos un tributo de {gold[0].value} de oro en cada turno para soportar tu existencia." 
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_4			"Exigimos {gold[0].value} de oro en cada turno como tributo. ¡Cumple la petición!"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_0		"A cambio, debemos pedir un tributo. {gold[0].value} de oro cada vez sería una muestra de gratitud que tardaríamos en olvidar."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_1		"A cambio, solicitamos un tributo de {gold[0].value} de oro cada vez. Nuestra amistad puede depender de esto."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_2		"A cambio, nos vemos obligados a pedirte un tributo de {gold[0].value} de oro cada vez. Ten piedad de nosotros, por favor."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_3		"A cambio, te instamos a tomar medidas para ganar nuestro favor. Con un tributo de {gold[0].value} de oro cada vez, recorrerás un gran camino para llegar a ese fin."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_4		"A cambio, exigimos {gold[0].value} de oro cada vez como tributo. Tu lealtad hacia nosotros se medirá por la rapidez de tu respuesta."

DIP_DETAILS_OFFER_REDUCE_POLLUTION_0			"Ofrecemos la reducción de los niveles de contaminación en nuestro imperio a {value[0].value} p.u. o por debajo. Estamos obligados a lograr un medio ambiente limpio." 
DIP_DETAILS_OFFER_REDUCE_POLLUTION_1			"Ofrecemos la posibilidad de hacer del mundo un lugar mejor mediante la reducción de los niveles de contaminación de nuestro imperio a {value[0].value} p.u. o por debajo."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_2			"Nos comprometemos a reducir los niveles de contaminación a {value[0].value} p.u. o por debajo, para complacer a nuestros vecinos."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_3			"Limpiaremos nuestras ciudades y reduciremos la contaminación total hasta un nivel de {value[0].value} p.u. o inferior."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_4			"Reduciremos la contaminación a un nivel de {value[0].value} p.u. o inferior. Esto debería ser suficiente para ti." 
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_0			"A cambio, estaremos encantados de reducir la contaminación de nuestro imperio a {value[0].value} p.u. o menos."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_1			"A cambio, haremos todo lo posible por reducir la contaminación a {value[0].value} p.u. o menos. Estamos dispuestos a compartir la carga de la responsabilidad ecológica." 
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_2			"A cambio, reduciremos rápidamente el nivel de contaminación a {value[0].value} p.u. o inferior, para cumplir con tus niveles." 
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_3			"A cambio, reduciremos nuestro niveles de contaminación a {value[0].value} p.u. o inferiores. ¿Qué más puedes pedir?"
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_4			"A cambio, reduciremos la contaminación a {value[0].value} p.u. o menos. Ésta es nuestra última oferta."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_0			"Pedimos que muestres una garantía para lograr un mundo más limpio. Reduce el nivel de contaminación de tu imperio a {value[0].value} p.u. o inferior."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_1			"Como amigos, te pedimos que continúes con la reducción de los niveles de contaminación de tu país. Un nivel de {value[0].value} p.u. o inferior sería suficiente."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_2			"¡Te rogamos que reduzcas la contaminación de tu gran imperio a {value[0].value} o menos! Nuestro futuro depende de ello."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_3			"Te pedimos encarecidamente que reduzcas los niveles de contaminación a {value[0].value} p.u. en todo tu imperio. Tus malas costumbres están agotando los recursos del mundo." 
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_4			"¡Reduce los niveles de contaminación de tu imperio a {value[0].value} p.u. o inferiores! ¡No podemos seguir tolerando tal desprecio por el medio ambiente!" 
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_0		"A cambio, pedimos la reducción de la contaminación de tu imperio a {value[0].value} p.u. o menos. Para prosperar, el mundo tiene que estar limpio."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_1		"A cambio, te suplicamos, como un país amigo, que reduzcas los niveles de contaminación a {value[0].value} p.u. o menos."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_2		"A cambio, te pedimos con humildad que reduzcas la contaminación de tu imperio a {value[0].value} p.u. o menos. Nuestros hijos te lo agradecerán."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_3		"A cambio, debemos insistir en la reducción de la contaminación a {value[0].value} p.u. o menos, en todo tu imperio. Tu pueblo no se mantendrá con vida si sigues con ese desprecio por la vida."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_4		"A cambio, exigimos una reducción de los niveles de contaminación de tu imperio. ¡Una reducción de {value[0].value} p.u. o menos será el mínimo aceptado!"

DIP_DETAILS_OFFER_MAP_0					"Te ofrecemos nuestro mapa, para que puedas compartir los beneficios de nuestro estudio." 
DIP_DETAILS_OFFER_MAP_1					"País amigo, te ofrecemos nuestro mapa como muestra de la gran consideración que te tenemos." 
DIP_DETAILS_OFFER_MAP_2					"Esperamos que la ofrenda de nuestro mapa sea suficiente para satisfacer a un país tan grandioso como el tuyo."
DIP_DETAILS_OFFER_MAP_3					"Te daremos nuestro mapa, ¡para que puedas disfrutar de la grandeza de nuestro país!"
DIP_DETAILS_OFFER_MAP_4					"Te ofrecemos nuestro mapa, sabiendo que eres demasiado insensato para darle buen uso."
DIP_DETAILS_OFFER_MAP_EX_0				"A cambio, te garantizaremos acceso total a nuestro mapa, de manera que puedas conocer los límites de nuestro imperio." 
DIP_DETAILS_OFFER_MAP_EX_1				"A cambio, te ofrecemos nuestro mapa, como muestra de amistad."
DIP_DETAILS_OFFER_MAP_EX_2				"A cambio, te ofrecemos humildemente nuestro mapa."
DIP_DETAILS_OFFER_MAP_EX_3				"A cambio, te proporcionamos el privilegio de ver nuestros mapas. Quizás te sean útiles."
DIP_DETAILS_OFFER_MAP_EX_4				"A cambio, te dejaremos ver nuestros mapas."
DIP_DETAILS_REQUEST_MAP_0				"¿Nos dejarás ver tu mapa, para que podamos beneficiarnos del trabajo de tus intrépidos exploradores?"
DIP_DETAILS_REQUEST_MAP_1				"Amigo, ¿serías tan amable de darnos tu mapa para compartir los frutos de la exploración con nosotros?"
DIP_DETAILS_REQUEST_MAP_2				"¿Nos darás acceso a tu mapa, para que podamos comprobar la extensión de tu extraordinario imperio?"
DIP_DETAILS_REQUEST_MAP_3				"Enséñanos tu mapa, para que podamos comprobar la extensión de tu imperio." 
DIP_DETAILS_REQUEST_MAP_4				"¡¡Déjanos ver tu insignificante país de una vez!! ¡¡Muéstranos tu mapa!!"
DIP_DETAILS_REQUEST_MAP_EX_0				"A cambio, te pedimos acceso al mapa de tu país."
DIP_DETAILS_REQUEST_MAP_EX_1				"A cambio, te pedimos que nos muestres tu mapa, para que podamos compartir los beneficios de la exploración de tu país."
DIP_DETAILS_REQUEST_MAP_EX_2				"A cambio, te pedimos el privilegio de ver tu mapa, para que podamos conocer más el mundo que nos rodea."
DIP_DETAILS_REQUEST_MAP_EX_3				"A cambio, queremos tener acceso a tu mapa, para poder llegar a conocer la extensión de tu exploración."
DIP_DETAILS_REQUEST_MAP_EX_4				"A cambio, exigimos la total revelación de tu mapa del mundo. Algo menos, se consideraría un insulto."

DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_0		"No tenemos intención de romper nuestras promesas. Por eso, cumpliremos nuestro pacto militar atacando {player[2].country_name}."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_1		"Queremos cumplir nuestro acuerdo para apoyarte militarmente. Atacaremos {player[2].country_name} en tu defensa."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_2		"Nos ofrecemos a atacar {player[2].country_name}, para cumplir nuestro pacto militar."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_3		"Nos ofrecemos a atacar {player[2].country_name} como parte de nuestro acuerdo militar."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_4		"No dudaremos en atacar {player[2].country_name}. ¡No somos la clase de país que se retracta!"
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_0		"A cambio, te prometemos cumplir nuestro pacto y atacar a los {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_1		"A cambio, cumpliremos nuestra obligación de apoyar a tu ejército y atacaremos a los {player[2].civ_name_plural}. Firmamos el pacto como amigos y te ayudaremos como lo haría un país amigo." 
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_2		"A cambio, cumpliremos nuestro pacto militar y atacaremos inmediatamente a los {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_3		"A cambio, cumpliremos el acuerdo militar que firmamos militar y atacaremos a los {player[2].civ_name_plural}. Romper los acuerdos no es propio de un gran país."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_4		"A cambio, atacaremos a los {player[2].civ_name_plural}, como está estipulado en nuestro acuerdo militar."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_0		"Pedimos que cumplas nuestro pacto militar y ataques a los {player[2].civ_name_plural}. La consideración que te tenemos está pendiente de un hilo."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_1		"Amigos, os pedimos que mantengáis el pacto militar que nos une y ataquéis a los {player[2].civ_name_plural}. Accedisteis a protegernos de cualquier daño. Esperamos que seáis un pueblo honorable."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_2		"Te rogamos que cumplas nuestro pacto militar y ataques a {player[2].country_name}. ¡Necesitamos tu ayuda!"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_3		"Te pedimos encarecidamente que mantengas tu palabra. ¡Firmaste un acuerdo militar con nosotros y esperamos que lo cumplas! ¡Ataca los {player[2].civ_name_plural} inmediatamente!"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_4		"Exigimos que cumplas el pacto militar que firmaste con nosotros. ¡Ataca a los {player[2].civ_name_plural} enseguida!"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_0	"A cambio, te pedimos que mantengas nuestro acuerdo militar y ataques a los {player[2].civ_name_plural}. Firmamos un pacto y esperamos que lo cumplas." 
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_1	"A cambio, te pedimos que cumplas el pacto militar que firmamos y ataques a los {player[2].civ_name_plural}. No querrás poner en peligro nuestra amistad."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_2	"A cambio, te pedimos que cumplas el pacto militar que firmaste firmamos y ataques a {player[2].country_name}."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_3	"A cambio, te pedimos encarecidamente que mantengas tu palabra. Firmamos un pacto militar y esperamos que cumplas del todo el acuerdo por el que debes atacar a los {player[2].civ_name_plural}." 
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_4	"A cambio, te exigimos que cumplas el pacto militar que firmamos y ataques a los {player[2].civ_name_plural}. Las consecuencias de la traición son ciertamente muy graves."

DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_0		"Nos ofrecemos a cumplir nuestro pacto de contaminación manteniendo los niveles de contaminación de nuestro país por debajo de {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_1		"Como amigos, accedemos a mantener los niveles de contaminación por debajo de {value[0].value}. Considera esto la afirmación de responsabilidad de este pacto." 
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_2		"Tratamos de cumplir el acuerdo de contaminación que tenemos. Haremos todo lo posible para mantener los niveles de contaminación por debajo de {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_3		"No somos la clase de país que viola sus acuerdos. Por eso, haremos lo posible por mantener la contaminación por debajo de {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_4		"Cumpliremos nuestro pacto de contaminación. Nuestros niveles de contaminación nunca superarán {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_0	"A cambio, nos esforzaremos por mantener los niveles de polución de nuestra nación estrictamente por debajo de {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_1	"A cambio, cumpliremos nuestro compromiso adquirido por el acuerdo de contaminación que firmamos. Conforme a lo estipulado, nuestros niveles de polución bajarán por debajo de {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_2	"A cambio, prometemos cumplir el acuerdo de contaminación. La contaminación no excederá el {value[0].value} tal y como se estableció en nuestro acuerdo."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_3	"A cambio, cumpliremos nuestro pacto de contaminación. Aunque es mucho pedir para una nación tan grande como la nuestra, el nivel de contaminación se mantendrá por debajo de {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_4	"A cambio, cumpliremos nuestra palabra. Mantendremos la contaminación por debajo de {value[0].value}."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_0		"Pedimos que cumplas nuestro acuerdo para mantener los niveles de contaminación de tu imperio por debajo de {value[0].value}. Confiamos en que no nos decepciones."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_1		"Te pedimos con toda amabilidad que cumplas nuestro acuerdo de contaminación. En nombre de la amistad, mantén el nivel de contaminación de tu imperio por debajo de {value[0].value}."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_2		"Te pedimos humildemente que cumplas el acuerdo para mantener los niveles de contaminación por debajo de {value[0].value}. Esperamos que un gran país como el tuyo sea honorable."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_3		"Insistimos en que mantengas nuestro pacto de contaminación. Los niveles de contaminación de tu imperio deben permanecer por debajo de {value[0].value}."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_4		"¡Exigimos que cumplas nuestro pacto! Mantén los niveles de contaminación de tu imperio por debajo de {value[0].value}."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_0	"A cambio, te pedimos que cumplas nuestro acuerdo, para mantener la contaminación de tu imperio por debajo de {value[0].value}."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_1	"A cambio, pedimos que cumplas el acuerdo de contaminación. Mantén los niveles de contaminación por debajo de {value[0].value}, para que podamos disfrutar de un mundo limpio." 
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_2	"A cambio, te rogamos que cumplas nuestro pacto de contaminación. Accediste a mantener los niveles de contaminación por debajo de {value[0].value} y esperamos que seas fiel a tu palabra."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_3	"A cambio, debemos insistir en que cumplas el pacto para mantener los niveles de contaminación por debajo de {value[0].value}. No puedes faltar a tu palabra."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_4	"A cambio, exigimos que cumplas el pacto de contaminación que firmamos. Los niveles de contaminación de tu imperio no deben superar {value[0].value}!"

DIP_DETAILS_OFFER_END_EMBARGO_0				"Ofrecemos levantar el embargo comercial. Nuestras naciones deben tratar de beneficiarse económicamente de forma mutua."
DIP_DETAILS_OFFER_END_EMBARGO_1				"Será un placer levantar el embargo comercial contra su país."
DIP_DETAILS_OFFER_END_EMBARGO_2				"Pronto levantaremos nuestro embargo comercial. No pretendíamos enojarles."
DIP_DETAILS_OFFER_END_EMBARGO_3				"Levantaremos nuestro embargo comercial contra su país."
DIP_DETAILS_OFFER_END_EMBARGO_4				"Aunque no merezcáis semejante deferencia, accederemos a levantar el embargo comercial"
DIP_DETAILS_OFFER_END_EMBARGO_EX_0			"A cambio, levantaremos el embargo comercial contra su nación."
DIP_DETAILS_OFFER_END_EMBARGO_EX_1			"A cambio, restableceremos los lazos comerciales con su nación, levantando el embargo comercial."
DIP_DETAILS_OFFER_END_EMBARGO_EX_2			"A cambio, levantaremos inmediatamente el embargo comercial."
DIP_DETAILS_OFFER_END_EMBARGO_EX_3			"A cambio, accederemos a levantar el embargo comercial."
DIP_DETAILS_OFFER_END_EMBARGO_EX_4			"A cambio, levantaremos el embargo comercial en contra suya."
DIP_DETAILS_REQUEST_END_EMBARGO_0			"Pedimos solemnemente que levante el embargo comercial sobre nuestro país."
DIP_DETAILS_REQUEST_END_EMBARGO_1			"En nombre de la amistad les pedimos que levanten el embargo comercial sobre nuestro país. ¿No podemos alcanzar un acuerdo cordial."
DIP_DETAILS_REQUEST_END_EMBARGO_2			"Les estaríamos muy agradecidos si levantaran el embargo comercial sobre nuestro país."
DIP_DETAILS_REQUEST_END_EMBARGO_3			"Debemos pedirles que levanten el embargo sobre comercial sobre nuestro país. Sería sensato comerciar con nosotros."
DIP_DETAILS_REQUEST_END_EMBARGO_4			"Estamos cansados de sus intentos de debilitarnos. ¡Exigimos que levanten el embargo inmediatamente!"
DIP_DETAILS_REQUEST_END_EMBARGO_EX_0			"A cambio, le pedimos que levante el embargo comercial. Nuestras naciones podrían beneficiarse mutuamente de muchas maneras."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_1			"A cambio, solicitamos amablemente que levante el embargo comercial."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_2			"A cambio, le rogamos encarecidamente que permita a nuestra nación prosperar levantando el embargo comercial al que nos somete."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_3			"A cambio, volvemos a solicitar que levante su embargo comercial sobre nosotros. No tiene ningún fundamento."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_4			"A cambio, le exigimos que levante este funesto embargo comercial. ¡No sea insensato!"

DIP_DETAILS_TREATY_DECLARE_WAR_0			"Proponemos que unamos nuestras fuerzas y declaremos la guerra a los {player[2].civ_name_plural}."
DIP_DETAILS_TREATY_DECLARE_WAR_1			"Aconsejamos la declaración de guerra a {player[2].civ_name_plural}. Juntos podemos eliminar la plaga que representa su país en la tierra." 
DIP_DETAILS_TREATY_DECLARE_WAR_2			"Proponemos que nuestros países declaren la guerra a los {player[2].civ_name_plural}."
DIP_DETAILS_TREATY_DECLARE_WAR_3			"Creemos que nuestros países deben declarar la guerra a los {player[2].civ_name_plural}. Unidos resistiremos, divididos caeremos."
DIP_DETAILS_TREATY_DECLARE_WAR_4			"Te instamos a declarar la guerra a {player[2].civ_name_plural}. Si lo haces, también lo haremos nosotros."
DIP_DETAILS_TREATY_DECLARE_WAR_EX_0			"Además, proponemos que nuestros países declaren la guerra a los {player[2].civ_name_plural}. ¡Únete a nosotros en esta llamada a las armas!"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_1			"Además, proponemos que te unas a nosotros en la declaración de guerra a los {player[2].civ_name_plural}. ¡Juntos podemos vencer!"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_2			"Además, te proponemos que declares la guerra a los {player[2].civ_name_plural} junto a nosotros."
DIP_DETAILS_TREATY_DECLARE_WAR_EX_3			"Además, te instamos a unirte a nuestra declaración de guerra a los {player[2].civ_name_plural}. Te pedimos que estés en el lado correcto de esta inminente guerra." 
DIP_DETAILS_TREATY_DECLARE_WAR_EX_4			"Además, insistimos en que declares la guerra a los {player[2].civ_name_plural} junto a nosotros. ¡Únete a nuestra causa!"

DIP_DETAILS_TREATY_CEASEFIRE_0				"La guerra es demasiado costosa e innecesaria en esta situación. Firma un tratado de alto el fuego con nosotros." 
DIP_DETAILS_TREATY_CEASEFIRE_1				"Nuestros países tienen objetivos comunes. Firmemos un tratado de alto el fuego, como muestra de nuestra amistad." 
DIP_DETAILS_TREATY_CEASEFIRE_2				"Proponemos la firma de un acuerdo de alto el fuego y esperamos que muestres clemencia."
DIP_DETAILS_TREATY_CEASEFIRE_3				"Proponemos acabar con todos los actos de agresión entre nuestros países. Firma un tratado de alto el fuego con nosotros."
DIP_DETAILS_TREATY_CEASEFIRE_4				"Proponemos un acuerdo alto el fuego. Te sugerimos que lo firmes enseguida."
DIP_DETAILS_TREATY_CEASEFIRE_EX_0			"Además, te proponemos que firmes un tratado de alto el fuego con nosotros, para que nuestros países puedan disfrutar la paz."
DIP_DETAILS_TREATY_CEASEFIRE_EX_1			"Además, esperamos que juntos podamos firmar un acuerdo de alto el fuego, así como normalizar las relaciones entre nosotros."
DIP_DETAILS_TREATY_CEASEFIRE_EX_2			"Además, te rogamos que firmes un tratado de alto el fuego con nosotros. No deseamos luchar contigo."
DIP_DETAILS_TREATY_CEASEFIRE_EX_3			"Además, te pedimos que accedas a un tratado de alto el fuego. No hay que perder la cabeza."
DIP_DETAILS_TREATY_CEASEFIRE_EX_4			"Además, te exigimos que firmes un tratado de alto el fuego inmediatamente."

DIP_DETAILS_TREATY_PEACE_0				"Proponemos acabar con las divisiones que hieren las almas de nuestro pueblo. Proponemos firmar un tratado de paz para garantizar un futuro para los hijos de nuestros hijos."
DIP_DETAILS_TREATY_PEACE_1				"Como muestra de amistad, proponemos la firma de un tratado de paz para afianzar nuestra alianza e intereses mutuos."
DIP_DETAILS_TREATY_PEACE_2				"Proponemos un tratado de paz entre nuestros países, de modo que podamos coexistir con tu gran país y esperamos que podamos tomar ejemplo de tus logros."
DIP_DETAILS_TREATY_PEACE_3				"Tengo la sensación de que lo mejor para tu país es firmar un tratado de paz con nosotros. Confiamos en que también lo verás así."
DIP_DETAILS_TREATY_PEACE_4				"¡Firma un tratado de paz con nosotros y acaba con esta mezquina guerra! No aceptaremos un acuerdo."
DIP_DETAILS_TREATY_PEACE_EX_0				"Además, pedimos una garantía de paz y armonía. Firma un tratado de paz y permite que nuestros países se llenen de alegría."
DIP_DETAILS_TREATY_PEACE_EX_1				"Además, te proponemos la firma de un tratado de paz entre nuestros países. ¿No podemos dejar a un lado las armas?"
DIP_DETAILS_TREATY_PEACE_EX_2				"Además, te proponemos la firma de un tratado de paz. ¿Estás de acuerdo?"
DIP_DETAILS_TREATY_PEACE_EX_3				"Además, pedimos la firma de un tratado de paz. No podemos preocuparnos con una amenaza de guerra pendiente sobre nuestras cabezas."
DIP_DETAILS_TREATY_PEACE_EX_4				"Además, insistimos en que firmes un tratado de paz."

DIP_DETAILS_TREATY_TRADE_PACT_0				"Te proponemos un pacto comercial, un acuerdo con el que ambos cosecharemos beneficios económicos."
DIP_DETAILS_TREATY_TRADE_PACT_1				"Es un placer proponer un pacto comercial a un país con el que tenemos tan buenas relaciones."
DIP_DETAILS_TREATY_TRADE_PACT_2				"Proponemos la firma de un pacto comercial, para que podamos disfrutar de los beneficios de comerciar con un imperio tan extenso y rico como el tuyo." 
DIP_DETAILS_TREATY_TRADE_PACT_3				"Proponemos, para que lo consideres, un pacto comercial. Te aconsejamos que lo firmes. Es raro poder disfrutar de un acuerdo comercial con un país tan grandioso como el nuestro." 
DIP_DETAILS_TREATY_TRADE_PACT_4				"Te invitamos a la firma de un pacto comercial. Fírmalo."
DIP_DETAILS_TREATY_TRADE_PACT_EX_0			"Además, te proponemos un pacto comercial entre nuestros países. Un acuerdo de esta índole sería muy beneficioso para ambos." 
DIP_DETAILS_TREATY_TRADE_PACT_EX_1			"Además, te proponemos un pacto comercial. Como países amigos, deberíamos intentar sacar provecho de las oportunidades mutuas."
DIP_DETAILS_TREATY_TRADE_PACT_EX_2			"Además, te proponemos un pacto comercial con tu gran país. Ambos podemos beneficiarnos y esperamos que accedas a firmarlo."
DIP_DETAILS_TREATY_TRADE_PACT_EX_3			"Además, te instamos a firmar un pacto comercial con nosotros. Estamos dispuestos a comerciar contigo. No pierdas esta oportunidad."
DIP_DETAILS_TREATY_TRADE_PACT_EX_4			"Además, exigimos que accedas a un pacto comercial con nosotros. Te interesa mantener buenas relaciones con nosotros."

DIP_DETAILS_TREATY_RESEARCH_PACT_0			"Te proponemos que nuestros países firmen un pacto de investigación. De ello depende la vitalidad de nuestras respectivas comunidades científicas."
DIP_DETAILS_TREATY_RESEARCH_PACT_1			"Te proponemos la firma de un pacto de investigación. Podemos beneficiarnos de una fuerte dedicación a la investigación científica."
DIP_DETAILS_TREATY_RESEARCH_PACT_2			"Te proponemos la firma de un pacto de investigación y esperamos que accedas a apoyar a los científicos de nuestros países."
DIP_DETAILS_TREATY_RESEARCH_PACT_3			"Te aconsejamos la firma de un pacto de investigación. Fírmalo y recogeremos los beneficios."
