## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "Cette nation est mécontente des pertes que nous lui avons fait subir."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_4 "En échange, nous réclamons un tribut de {gold[0].value} pièces d'or à chaque tour. Votre dévouement à notre cause se mesurera à votre rapidité d'exécution."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_0 "Nous offrons de ramener les niveaux de pollution de notre empire à {value[0].value} ou moins. Nous réaffirmons notre engagement pour la protection de l'environnement."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_1 "Nous proposons d'améliorer la qualité de l'environnement mondial en ramenant nos niveaux de pollution à {value[0].value} ou moins."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_2 "Nous promettons de ramener nos niveaux de pollution à {value[0].value} ou moins afin de satisfaire nos voisins."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_3 "Nous allons assainir nos villes et ramener notre niveau de pollution à {value[0].value} ou moins."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_4 "Nous allons ramener la pollution à {value[0].value} ou moins. Cela devrait vous suffire amplement."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_0 "En échange, nous sommes heureux de ramener la pollution de notre empire à {value[0].value} ou moins."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_1 "En échange, nous ferons tout notre possible pour ramener nos niveaux de pollution à {value[0].value} ou moins. Nous sommes disposés à contribuer à l'amélioration de l'environnement."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_2 "En échange, nous allons rapidement ramener notre niveau de pollution à {value[0].value} ou moins afin de satisfaire à vos normes."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_3 "En échange, nous allons ramener nos niveaux de pollution à {value[0].value} ou moins. Que pourriez-vous demander de plus ?"
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_4 "En échange, nous allons ramener la pollution à {value[0].value} ou moins. C'est notre dernière offre."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_0 "Nous exigeons que vous vous engagiez à prendre des mesures écologiques.  Ramenez les niveaux de pollution de votre empire à {value[0].value} ou moins."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_1 "En tant qu'amis, nous vous demandons de poursuivre la réduction de vos niveaux de pollution.  {value[0].value} ou moins devraient suffire."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_2 "Voici notre humble requête :  ramenez vos niveaux de pollution {value[0].value} ou moins ! Notre avenir en dépend."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_3 "Nous vous demandons instamment de ramener vos niveaux de pollution à {value[0].value} dans votre empire. Vos mauvaises habitudes pèsent lourdement sur les ressources mondiales."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_4 "Ramenez les niveaux de pollution  de votre empire à {value[0].value} ou moins ! Nous ne pouvons plus tolérer  un tel mépris de l'environnement !"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_0 "En échange, nous vous demandons de ramener vos niveaux de pollution à {value[0].value} ou moins. Pour prospérer, le monde doit évoluer dans un environnement sain."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_1 "En échange, nous vous implorons, en signe de notre amitié, de ramener vos niveaux de pollution à {value[0].value} ou moins."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_2 "En échange, nous requérons humblement de votre part de ramener vos niveaux de pollution à {value[0].value} ou moins. Nos enfants vous en seront plus reconnaissants que jamais."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_3 "En échange, nous vous sommons de ramener vos niveaux de pollution à {value[0].value} ou moins dans votre empire. Un tel mépris pour la vie ne témoigne pas de votre éminence."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_4 "En échange, nous exigeons une réduction de la pollution dans votre empire ! Un taux de {value[0].value} ou moins est le minimum que nous puissions accepter !"
DIP_DETAILS_OFFER_MAP_0 "Nous vous proposons notre carte, pour vous faire partager les fruits de nos activités d'exploration."
DIP_DETAILS_OFFER_MAP_1 "En tant que nation amie, nous vous offrons notre carte en témoignage de la haute opinion que nous avons de vous."
DIP_DETAILS_OFFER_MAP_2 "Nous espérons que le don de notre carte suffira à satisfaire une nation aussi éminente que la vôtre."
DIP_DETAILS_OFFER_MAP_3 "Nous allons vous révéler notre carte, vous verrez ainsi combien notre nation est généreuse !"
DIP_DETAILS_OFFER_MAP_4 "Nous vous offrons notre carte, en sachant bien cependant que vous serez incapable d'en faire bon usage."
DIP_DETAILS_OFFER_MAP_EX_0 "En échange, nous vous autorisons l'accès illimité à notre carte. Vos prendrez ainsi connaissance de l'étendue de notre empire."
DIP_DETAILS_OFFER_MAP_EX_1 "En échange, nous vous faisons don de notre carte, en témoignage de notre amitié."
DIP_DETAILS_OFFER_MAP_EX_2 "En échange, nous vous offrons humblement notre carte."
DIP_DETAILS_OFFER_MAP_EX_3 "En échange, nous vous offrons le privilège de voir nos cartes. Peut-être vous seront-elles utiles."
DIP_DETAILS_OFFER_MAP_EX_4 "En échange, nous vous offrons le droit d'explorer nos cartes."
DIP_DETAILS_REQUEST_MAP_0 "Voudriez-nous nous accorder l'accès à vos cartes pour que nous puissions bénéficier des découvertes de vos audacieux explorateurs ?"
DIP_DETAILS_REQUEST_MAP_1 "Auriez-vous l'amabilité de partager les fruits  de vos explorations en nous offrant votre carte ?"
DIP_DETAILS_REQUEST_MAP_2 "Vous accorderez-nous l'accès à votre carte pour que nous prenions enfin connaissance de l'étendue de votre extraordinaire empire ?"
DIP_DETAILS_REQUEST_MAP_3 "Montrez-nous votre carte pour que nous jugions de l'étendue de votre empire."
DIP_DETAILS_REQUEST_MAP_4 "Révélez-nous immédiatement les contours de votre pitoyable nation ! Montrez-nous votre carte !"
DIP_DETAILS_REQUEST_MAP_EX_0 "En échange, nous requérons l'accès à votre carte."
DIP_DETAILS_REQUEST_MAP_EX_1 "En échange, nous exigeons que vous révéliez votre carte. Nous pourrons ainsi bénéficier de vos activités d'exploration."
DIP_DETAILS_REQUEST_MAP_EX_2 "En échange, nous réclamons le privilège de voir votre carte afin de mieux connaître le monde qui nous entoure."
DIP_DETAILS_REQUEST_MAP_EX_3 "En échange, nous désirons accéder à votre carte, de façon à connaître toute l'étendue de vos explorations."
DIP_DETAILS_REQUEST_MAP_EX_4 "En échange, nous exigeons que vous nous révéliez l'intégralité de votre carte du monde. C'est la moindre des choses."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_0 "Nous avons l'habitude de tenir parole. En conséquence, nous allons honorer notre pacte militaire en attaquant les {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_1 "Nous avons l'intention d'honorer notre accord et de vous soutenir sur le plan militaire. Nous allons vous défendre en attaquant les {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_2 "Nous proposons d'attaquer les {player[2].civ_name_plural}, afin d'honorer le pacte militaire que nous avons conclu avec vous."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_3 "Nous vous proposons d'attaquer les {player[2].civ_name_plural} dans le cadre de notre accord militaire."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_4 "Nous n'hésiterons pas à attaquer les {player[2].civ_name_plural}. Nous ne sommes pas de ces nations qui reviennent sur leur parole !"
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_0 "En échange, nous promettons d'honorer notre pacte et d'attaquer les {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_1 "En échange, nous honorerons notre engagement à vous soutenir sur le plan militaire en attaquant les {player[2].civ_name_plural}. Au nom de notre pacte d'amitié, vous recevrez l'aide que l'on peut attendre d'alliés."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_2 "En échange, nous allons honorer sur-le-champ notre pacte militaire en attaquant les {player[2].civ_name_plural}."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_3 "En échange, nous nous conformerons à l'accord militaire que nous avons signé en attaquant les {player[2].civ_name_plural}. La déloyauté est indigne des grandes nations."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_4 "En échange, nous allons attaquer {player[2].civ_name_plural}, comme le prévoit notre accord militaire."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_0 "Nous vous demandons d'honorer votre pacte militaire en attaquant les {player[2].civ_name_plural}. L'estime que nous avons pour vous est en jeu."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_1 "Nous sollicitons de votre part de réaffirmer le pacte militaire que nous avons conclu et d'attaquer les {player[2].civ_name_plural}. Nous espérons que vous êtes dignes de parole et que vous nous défendrez en cas d'attaque."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_2 "Nous vous prions d'honorer votre pacte militaire en attaquant les {player[2].civ_name_plural}.  Nous avons besoin de votre aide !"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_3 "Nous vous prions instamment de tenir votre parole. Vous avez signé un accord militaire avec nous et  nous espérons que vous l'honorerez ! Attaquez les {player[2].civ_name_plural} immédiatement !"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_4 "Nous vous demandons d'honorer le pacte militaire que vous avez signé avec nous. Attaquez les {player[2].civ_name_plural} dans les plus brefs délais !"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_0 "En échange, nous vous demandons de respecter vos engagements militaires et d'attaquer les {player[2].civ_name_plural}. Nous avons signé un pacte et nous espérons bien que vous l'honorerez."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_1 "En échange, nous exigeons que vous honoriez le pacte militaire que vous avez signé avec nous et d'attaquer les {player[2].civ_name_plural}. Cela éviterait de mettre en péril notre amitié."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_2 "En échange, nous vous demandons d'avoir l'amabilité d'honorer le pacte militaire que vous avez signé avec nous en attaquant les {player[2].civ_name_plural}."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_3 "En échange, nous vous recommandons vivement de tenir votre parole. Nous avons signé un pacte militaire et nous espérons bien que vous attaquerez les {player[2].civ_name_plural}."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_4 "En échange, nous vous demandons de respecter le pacte militaire que nous avons signé et d'attaquer les {player[2].civ_name_plural}. La traîtrise se paie cher de nos jours."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_0 "Nous vous offrons d'honorer notre éco-pacte en maintenant nos niveaux de pollution en dessous de {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_1 "En témoignage de notre amitié, nous acceptons de maintenir nos niveaux de pollution en dessous de {value[0].value}. Considérez cela comme l'affirmation de notre engagement à respecter ce pacte."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_2 "Nous avons l'intention d'honorer l'accord de lutte contre la pollution que nous avons conclu avec vous. Nous nous efforcerons de maintenir nos niveaux de pollution en dessous de {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_3 "Nous ne sommes pas le genre de nation à violer les accords. C'est pourquoi, nous nous conformerons à notre pacte en maintenant la pollution en dessous de {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_4 "Nous allons honorer notre éco-pacte. Nos niveaux de pollution ne dépasseront jamais {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_0 "En échange, nous ferons tous les efforts possibles pour maintenir nos niveaux de pollution en deçà de {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_1 "En échange, nous réaffirmons l'éco-pacte que nous avons signé. Comme le prévoit l'accord, nos niveaux de pollution devront être inférieurs à {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_2 "En échange, nous promettons de respecter notre éco-pacte. La pollution ne dépassera pas {value[0].value} comme le prévoit notre accord."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_3 "En échange, nous allons respecter notre éco-pacte. Bien que cette exigence soit difficile pour une nation comme la nôtre, la pollution restera inférieure à {value[0].value}."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_4 "En échange, nous tiendrons notre parole. La pollution devra rester inférieure à {value[0].value}."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_0 "Nous vous demandons d'honorer votre accord en maintenant les niveaux de pollution de votre empire en dessous de {value[0].value}. Nous espérons que vous ne nous décevrez pas."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_1 "Nous vous demandons gentiment d'honorer votre éco-pacte. Au nom de notre amitié, maintenez vos niveaux de pollution en dessous de {value[0].value}."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_2 "Nous requérons humblement de respecter votre accord, à savoir maintenir vos niveaux de pollution en dessous de {value[0].value}. Nous attendons d'une nation aussi éminente que la vôtre qu'elle honore sa parole."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_3 "Nous vous recommandons vivement d'honorer votre éco-pacte. Les niveaux de pollution de votre empire doivent être inférieurs à {value[0].value}."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_4 "Nous vous demandons d'honorer votre pacte ! Maintenez vos niveaux de pollution en dessous de {value[0].value} !"
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_0 "En échange, nous vous demandons de respecter l'accord conclu avec nous, à savoir maintenir la pollution de votre empire en dessous de {value[0].value}."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_1 "En échange, nous vous demandons d'honorer votre éco-pacte. Maintenez vos niveaux de pollution en dessous de {value[0].value}, l'environnement mondial en sera d'autant plus sain."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_2 "En échange, nous vous prions de vous conformer à l'éco-pacte conclu avec nous. Vous avez accepté de maintenir vos niveaux de pollution en dessous de {value[0].value}, nous espérons que vous saurez tenir votre parole."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_3 "En échange, nous vous sommons d'honorer votre pacte en maintenant vos niveaux de pollution en dessous de {value[0].value}. Nous vous conseillons de ne pas revenir sur votre parole."
DIP_DETAILS_REQUEST_HONOR_POLLUTION_AGREEMENT_EX_4 "En échange, nous vous demandons d'honorer l'éco-pacte que nous avons signé ensemble. Les niveaux de pollution de votre empire ne doivent pas dépasser {value[0].value} !"
DIP_DETAILS_OFFER_END_EMBARGO_0 "Nous offrons de lever l'embargo décrété contre vous. Nos nations doivent apprendre à collaborer sur le plan commercial."
DIP_DETAILS_OFFER_END_EMBARGO_1 "Nous nous ferons une joie de lever l'embargo commercial à votre encontre."
DIP_DETAILS_OFFER_END_EMBARGO_2 "Au nom de la prospérité mutuelle de nos peuples, nous offrons de lever notre embargo commercial.<changeme>"
DIP_DETAILS_OFFER_END_EMBARGO_3 "Nous allons lever sur-le-champ l'embargo décrété contre vous. Notre intention n'était pas de susciter votre courroux."
DIP_DETAILS_OFFER_END_EMBARGO_4 "Bien que vous ne soyez pas digne d'une telle considération, nous acceptons de lever l'embargo commercial à votre encontre."
DIP_DETAILS_OFFER_END_EMBARGO_EX_0 "En échange, nous allons lever l'embargo commercial à l'encontre de votre nation."
DIP_DETAILS_OFFER_END_EMBARGO_EX_1 "En échange, nous allons reprendre les relations commerciales avec votre nation en levant l'embargo à son encontre."
DIP_DETAILS_OFFER_END_EMBARGO_EX_2 "En échange, nous allons lever sur-le-champ l'embargo injuste dont nous avons frappé votre nation."
DIP_DETAILS_OFFER_END_EMBARGO_EX_3 "En échange, nous acceptons de lever l'embargo commercial à votre encontre."
DIP_DETAILS_OFFER_END_EMBARGO_EX_4 "En échange, nous allons lever l'embargo commercial qui pèse sur votre nation."
DIP_DETAILS_REQUEST_END_EMBARGO_0 "Nous requérons solennellement de votre part de lever l'embargo commercial qui pèse sur nous."
DIP_DETAILS_REQUEST_END_EMBARGO_1 "Nous vous demandons simplement de lever l'embargo commercial dont vous frappez notre pays. Ne pourrait-on pas envisager un réglement à l'amiable ?"
DIP_DETAILS_REQUEST_END_EMBARGO_2 "Nous vous serions reconnaissants de lever l'embargo qui pèse sur notre pays."
DIP_DETAILS_REQUEST_END_EMBARGO_3 "Nous sommes contraints de vous demander de lever l'embargo qui pèse sur notre nation. Vous n'y avez aucun intérêt."
DIP_DETAILS_REQUEST_END_EMBARGO_4 "Nous sommes lassés de vos manoeuvres destinées à nous affaiblir. Levez immédiatement l'embargo qui pèse sur nous."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_0 "En échange, nous vous demandons de lever l'embargo qui pèse sur notre commerce. Nos deux nations ne pourront qu'en bénéficier."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_1 "En échange, nous vous demandons gentiment de lever l'embargo commercial que vous avez décrété à notre encontre."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_2 "En échange, nous requérons humblement de votre part de lever l'embargo qui pèse sur notre nation et de nous laisser ainsi une chance de prospérer à nouveau."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_3 "En échange, nous insistons pour que vous leviez l'embargo commercial qui frappe notre nation. Celui-ci est totalement injustifié."
DIP_DETAILS_REQUEST_END_EMBARGO_EX_4 "En échange, nous vous demandons de lever cet embargo des plus insensés !"
DIP_DETAILS_TREATY_DECLARE_WAR_0 "Nous proposons d'allier nos forces aux vôtres et de déclarer la guerre aux {player[2].civ_name_plural}."
DIP_DETAILS_TREATY_DECLARE_WAR_1 "Nous recommandons de déclarer conjointement la guerre aux {player[2].civ_name_plural}. Ensemble, nous allons éradiquer le fléau que représente leur nation."
DIP_DETAILS_TREATY_DECLARE_WAR_2 "Nous proposons que nos deux nations  déclarent ensemble la guerre aux {player[2].civ_name_plural}."
DIP_DETAILS_TREATY_DECLARE_WAR_3 "Nous pensons que nos deux nations devraient déclarer la guerre aux {player[2].civ_name_plural}. Comme chacun sait, l'union fait la force."
DIP_DETAILS_TREATY_DECLARE_WAR_4 "Nous vous prions instamment de déclarer la guerre aux {player[2].civ_name_plural}. Le cas échéant, nous nous joindrons à vous."
DIP_DETAILS_TREATY_DECLARE_WAR_EX_0 "En outre, nous proposons que nos deux nations déclarent conjointement la guerre aux {player[2].civ_name_plural}. Que cet appel aux armes soit l'occasion de nous associer ! "
DIP_DETAILS_TREATY_DECLARE_WAR_EX_1 "En outre, nous vous offrons de déclarer conjointement la guerre aux {player[2].civ_name_plural}. Ensemble, nous serons en mesure de les vaincre !"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_2 "Nous vous proposons en outre de déclarer ensemble la guerre aux {player[2].civ_name_plural}."
DIP_DETAILS_TREATY_DECLARE_WAR_EX_3 "En outre, nous vous exhortons à vous associer à notre déclaration de guerre aux {player[2].civ_name_plural}. Nous ne pouvons que vous recommander d'être du bon côté !"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_4 "En outre, nous vous sommons de déclarer la guerre aux {player[2].civ_name_plural}. Joignez-vous à notre cause !"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_0 "En outre, nous proposons que nos deux nations déclarent conjointement la guerre aux {player[2].civ_name_plural}. Que cet appel aux armes soit l'occasion de nous associer ! "
DIP_DETAILS_TREATY_DECLARE_WAR_EX_1 "En outre, nous vous offrons de déclarer conjointement la guerre aux {player[2].civ_name_plural}. Ensemble, nous serons en mesure de les vaincre !"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_2 "Nous vous proposons en outre de déclarer ensemble la guerre aux {player[2].civ_name_plural}."
DIP_DETAILS_TREATY_DECLARE_WAR_EX_3 "En outre, nous vous exhortons à vous associer à notre déclaration de guerre aux {player[2].civ_name_plural}. Nous ne pouvons que vous recommander d'être du bon côté !"
DIP_DETAILS_TREATY_DECLARE_WAR_EX_4 "En outre, nous vous sommons de déclarer la guerre aux {player[2].civ_name_plural}. Joignez-vous à notre cause !"
DIP_DETAILS_TREATY_CEASEFIRE_0 "En l'occurrence, une guerre serait à la fois vaine et coûteuse. Signez un traité de cessez-le-feu avec nous."
DIP_DETAILS_TREATY_CEASEFIRE_1 "Nos nations ont des objectifs communs. Signons un traité de cessez-le-feu, en témoignage de notre amitié."
DIP_DETAILS_TREATY_CEASEFIRE_2 "Nous vous proposons un accord de cessez-le-feu en espérant que vous vous montrerez cléments."
DIP_DETAILS_TREATY_CEASEFIRE_3 "Nous proposons de mettre fin à tous les actes d'agression entre nos deux nations. Signez un traité de cessez-le-feu avec nous."
DIP_DETAILS_TREATY_CEASEFIRE_4 "Nous vous proposons un accord de cessez-le-feu. Nous vous suggérons de le signer immédiatement."
DIP_DETAILS_TREATY_CEASEFIRE_EX_0 "En outre, nous vous proposons de signer un traité de cessez-le-feu avec nous pour que nos deux nations puissent enfin vivre en paix."
DIP_DETAILS_TREATY_CEASEFIRE_EX_1 "En outre,  nous espérons que nous pourrons signer un accord de cessez-le-feu et ainsi normaliser nos relations."
DIP_DETAILS_TREATY_CEASEFIRE_EX_2 "En outre, nous vous implorons de signer un traité de cessez-le-feu avec nous. Nous n'avons aucune intention agressive à votre égard."
DIP_DETAILS_TREATY_CEASEFIRE_EX_3 "En outre, nous vous demandons d'accepter un traité de cessez-le-feu. Il est bon que le calme règne entre nos deux nations."
DIP_DETAILS_TREATY_CEASEFIRE_EX_4 "En outre, nous vous demandons de signer un traité de cessez-le-feu immédiatement."
DIP_DETAILS_TREATY_PEACE_0 "Nous proposons de mettre un terme aux dissensions qui assaillent nos peuples. Un traité de paix garantira la sécurité des générations futures."
DIP_DETAILS_TREATY_PEACE_1 "Au nom de notre amitié, nous proposons un traité de paix qui consolidera notre alliance et protègera nos intérêts mutuels."
DIP_DETAILS_TREATY_PEACE_2 "Nous proposons de signer un traité de paix afin de coexister avec votre éminente nation. Celui-ci sera, espérons-le, source d'enrichissement."
DIP_DETAILS_TREATY_PEACE_3 "Nous sommes persuadés qu'il est dans l'intérêt de votre nation de signer un traité de paix avec nous. Vous n'y verrez sans doute pas d'inconvénient."
DIP_DETAILS_TREATY_PEACE_4 "Signez donc un traité de paix avec nous afin de cesser cette pitoyable guerre ! Nous n'accepterons aucun compromis."
DIP_DETAILS_TREATY_PEACE_EX_0 "Nous vous demandons en outre de vous engager pour la paix et l'harmonie des peuples. Signez un traité de paix avec nous, nos nations s'en réjouiront."
DIP_DETAILS_TREATY_PEACE_EX_1 "En outre, nous vous proposons un traité de paix entre nos deux nations. Ce serait là un bel adieu aux armes !"
DIP_DETAILS_TREATY_PEACE_EX_2 "Nous vous proposons en outre un traité de paix. Etes-vous prêts à l'accepter ?"
DIP_DETAILS_TREATY_PEACE_EX_3 "Nous exigeons en outre la signature d'un traité de paix. Nous refusons de vivre sans cesse avec la menace d'une guerre."
DIP_DETAILS_TREATY_PEACE_EX_4 "En outre, nous vous sommons de signer un traité de paix."
DIP_DETAILS_TREATY_TRADE_PACT_0 "Nous vous proposons un pacte commercial, qui nous permettra de partager les fruits de la croissance."
DIP_DETAILS_TREATY_TRADE_PACT_1 "Nous sommes heureux de proposer un pacte commercial à une nation avec laquelle nous entretenons de si bonnes relations."
DIP_DETAILS_TREATY_TRADE_PACT_2 "Nous vous proposons un pacte commercial, afin d'entretenir des relations avec un empire aussi vaste et aussi prospère que le vôtre."
DIP_DETAILS_TREATY_TRADE_PACT_3 "Nous proposons à votre intention un pacte commercial. Nous vous suggérons de le signer. C'est l'occasion ou jamais de réaliser des échanges avec une nation comme la nôtre."
DIP_DETAILS_TREATY_TRADE_PACT_4 "Nous vous offrons la possibilité de conclure un pacte commercial. Signez-le."
DIP_DETAILS_TREATY_TRADE_PACT_EX_0 "Nous vous proposons en outre un pacte commercial. Nos deux nations tireront profit d'un tel accord."
DIP_DETAILS_TREATY_TRADE_PACT_EX_1 " Nous vous proposons en outre un pacte commercial. En tant que nations alliées, nous avons tout intérêt à capitaliser nos opportunités commerciales mutuelles."
DIP_DETAILS_TREATY_TRADE_PACT_EX_2 "En outre, nous vous offrons de signer un pacte commercial avec notre éminente nation. Nous espérons que vous accepterez car il nous sera bénéfique à tous."
DIP_DETAILS_TREATY_TRADE_PACT_EX_3 "En outre, nous vous exhortons à conclure un pacte commercial avec nous, dans la perspective d'échanger des marchandises. C'est là une occasion à ne pas manquer."
DIP_DETAILS_TREATY_TRADE_PACT_EX_4 "En outre, nous vous demandons de signer le pacte commercial que nous vous proposons. Il est en effet dans votre intérêt de préserver de bonnes relations avec notre nation."
DIP_DETAILS_TREATY_RESEARCH_PACT_0 "Nous vous proposons que nos deux nations signent un pacte de recherche. La vitalité de nos communautés scientifiques respectives en dépend."
DIP_DETAILS_TREATY_RESEARCH_PACT_1 "Nous vous proposons de signer un pacte de recherche avec nous. Seul un engagement solide de notre part donnera des résultats."
DIP_DETAILS_TREATY_RESEARCH_PACT_2 "Nous vous proposons de signer un pacte de recherche. Vous pourrez ainsi soutenir les travaux scientifiques de nos deux nations."
DIP_DETAILS_TREATY_RESEARCH_PACT_3 "Nous vous recommandons de conclure un pacte de recherche. Signez-le, nous en récolterons tous les fruits."
DIP_DETAILS_TREATY_RESEARCH_PACT_4 "Nous vous incitons plus que jamais à signer un pacte de recherche avec nous. Les découvertes scientifiques sont notre priorité."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_0 "En outre, nous réclamons la signature d'un pacte de recherche entre nos deux éminentes nations. Nos chercheurs bénéficieront de notre engagement pour la science."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_1 "En outre, nous proposons un pacte scientifique. Seul un engagement pour la recherche scientifique pourra consolider l'amitié qui nous unit."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_2 "En outre, nous vous demandons d'envisager la signature d'un pacte de recherche. Nous vous serions reconnaissants d'honorer notre désir d'accroître la productivité scientifique."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_3 "En outre, nous vous prions instamment d'accepter un pacte de recherche. Les bénéfices seront multiples et vous avez tout intérêt à nous rendre ce service."
DIP_DETAILS_TREATY_RESEARCH_PACT_EX_4 "En outre, nous vous demandons de signer un pacte de recherche. J'espère que vous n'êtes pas assez fou pour nous refuser cela."
DIP_DETAILS_TREATY_MILITARY_PACT_0 "Nous vous proposons un pacte militaire, garantissant une protection mutuelle en cas d'attaque."
DIP_DETAILS_TREATY_MILITARY_PACT_1 "Nous vous proposons un pacte militaire.  Des empires en bons termes comme les nôtres ne peuvent refuser de se garantir une sécurité mutuelle."
DIP_DETAILS_TREATY_MILITARY_PACT_2 "Nous vous proposons un pacte militaire.  Nous n'hésiterons pas à vous défendre et espérons que vous ferez de même."
DIP_DETAILS_TREATY_MILITARY_PACT_3 "Nous vous recommandons de signer un pacte militaire avec nous. Les bénéfices à tirer d'un tel accord sont manifestes."
DIP_DETAILS_TREATY_MILITARY_PACT_4 "Nous vous recommandons un pacte militaire. Nous espérons que vous n'êtes pas assez obtus pour ne pas voir les bénéfices d'un tel accord."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_0 "En outre, nous vous proposons d'étudier la possibilité d'un pacte militaire. Nous jouirions ainsi d'une tranquillité d'esprit qui ne peut être que bénéfique."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_1 "Nous vous proposons en outre un pacte militaire. En tant que nations alliées, nous pourrons ainsi garantir notre protection mutuelle."
DIP_DETAILS_TREATY_MILITARY_PACT_EX_2 "En outre, nous vous implorons d'accepter le pacte militaire que nous vous proposons. En cas d'invasion, votre soutien nous serait très utile."
