
#### Empire/Civilization Names (maximum of 64 Empires) ####


##### kjm 021699 - added - this goes into the investigate diplomacy screen
PERSONALITY_DESCRIPTION_BARBARIAN "野蛮"
CANADIANS_CITY_5 "温哥华"
CANADIANS_CITY_6 "温尼伯"
CANADIANS_CITY_7 "里贾纳"
CANADIANS_CITY_8 "多伦多"
CANADIANS_CITY_9 "惠斯特"
CANADIANS_CITY_10 "怀特霍斯"
CANADIANS_CITY_11 "班福"
CANADIANS_CITY_12 "孙卓"
CANADIANS_CITY_13 "哈立法克斯"
CANADIANS_CITY_14 "圣约翰"
CANADIANS_CITY_15 "维多利亚"
CANADIANS_CITY_16 "尼加拉瓜"
CANADIANS_CITY_17 "隆雷克"
CANADIANS_CITY_18 "寇柏"
CANADIANS_CITY_19 "布兰登"
CANADIANS_CITY_20 "圣克劳德"
CANADIANS_CITY_21 "巴尔特福德"
CANADIANS_CITY_22 "莱斯布里奇"
CANADIANS_CITY_23 "穆索尼"
CANADIANS_CITY_24 "弗米利恩"
CANADIANS_CITY_25 "拉罗奇"
CANADIANS_CITY_26 "切斯特菲尔德"
CANADIANS_CITY_27 "特库姆塞"
CANADIANS_CITY_28 "加蒂诺"
CANADIANS_CITY_29 "钢铁河"
CANADIANS_CITY_30 "断头城"

NIGERIAN "奈及利亚人"

NIGERIAN_LEADERM_NAME "阿奇克韦"
NIGERIAN_LEADERF_NAME "忍佳"
NIGERIAN_COUNTRY_NAME "奈及利亚"
NIGERIAN_SINGULAR "奈及利亚人"
NIGERIAN_PLURAL "奈及利亚人"

NIGERIAN_CITY_1 "贝林"
NIGERIAN_CITY_2 "伊巴丹"
NIGERIAN_CITY_3 "马克兰德"
NIGERIAN_CITY_4 "埃努古"
NIGERIAN_CITY_5 "奥戈甲"
NIGERIAN_CITY_6 "奥约"
NIGERIAN_CITY_7 "卡杜纳"
NIGERIAN_CITY_8 "扎里亚"
NIGERIAN_CITY_9 "索科托"
NIGERIAN_CITY_10 "包奇"
NIGERIAN_CITY_11 "哈代贾"
NIGERIAN_CITY_12 "卡诺"
NIGERIAN_CITY_13 "卡拉巴尔"
NIGERIAN_CITY_14 "杜特斯"
NIGERIAN_CITY_15 "络科贾"
NIGERIAN_CITY_16 "奥维里"
NIGERIAN_CITY_17 "明纳"
NIGERIAN_CITY_18 "奥绍博"
NIGERIAN_CITY_19 "贡贝"
NIGERIAN_CITY_20 "贾利哥"
NIGERIAN_CITY_21 "阿当玛瓦"
NIGERIAN_CITY_22 "伊凯贾"
NIGERIAN_CITY_23 "乔斯"
NIGERIAN_CITY_24 "比尔宁凯比"
NIGERIAN_CITY_25 "阿多埃基蒂"
NIGERIAN_CITY_26 "埃努古"
NIGERIAN_CITY_27 "拉菲亚"
NIGERIAN_CITY_28 "古绍"
NIGERIAN_CITY_29 "阿库雷"
NIGERIAN_CITY_30 "叶诺沟亚"

KOREA "韩国人"

KOREAN_LEADERM_NAME "李成桂"
KOREAN_LEADERF_NAME "洪皇后"
KOREAN_COUNTRY_NAME "韩国"
KOREAN_SINGULAR "韩国人"
KOREAN_PLURAL "韩国人"

KOREAN_CITY_1 "汉城"
KOREAN_CITY_2 "釜山"
KOREAN_CITY_3 "大田"
KOREAN_CITY_4 "安阳"
KOREAN_CITY_5 "匈纳"
KOREAN_CITY_6 "清津"
KOREAN_CITY_7 "平壤"
KOREAN_CITY_8 "春川"
KOREAN_CITY_9 "开城"
KOREAN_CITY_10 "仁川"
KOREAN_CITY_11 "元山"
KOREAN_CITY_12 "尤津"
KOREAN_CITY_13 "富川"
KOREAN_CITY_14 "大邱"
KOREAN_CITY_15 "荣山"
KOREAN_CITY_16 "蔚山"
KOREAN_CITY_17 "黄水岗"
KOREAN_CITY_18 "金哈"
KOREAN_CITY_19 "光州"
KOREAN_CITY_20 "济州"
KOREAN_CITY_21 "长王"
KOREAN_CITY_22 "浦顶"
KOREAN_CITY_23 "通古哈"
KOREAN_CITY_24 "顺天"
KOREAN_CITY_25 "议政府"
KOREAN_CITY_26 "全州"
KOREAN_CITY_27 "木浦"
KOREAN_CITY_28 "水原"
KOREAN_CITY_29 "石虎"
KOREAN_CITY_30 "松伟"

BRAZIL "巴西人"

BRAZILIAN_LEADERM_NAME "丰赛卡"
BRAZILIAN_LEADERF_NAME "马尔克莎"
BRAZILIAN_COUNTRY_NAME "巴西"
BRAZILIAN_SINGULAR "巴西人"
BRAZILIAN_PLURAL "巴西人"

BRAZILIAN_CITY_1 "巴西利亚"
BRAZILIAN_CITY_2 "里约热内卢"
BRAZILIAN_CITY_3 "圣多斯"
BRAZILIAN_CITY_4 "阿雷格港"
BRAZILIAN_CITY_5 "勒西菲"
BRAZILIAN_CITY_6 "内湖"
BRAZILIAN_CITY_7 "卡塞雷斯"
BRAZILIAN_CITY_8 "瓜伊巴"
BRAZILIAN_CITY_9 "格兰马多"
BRAZILIAN_CITY_10 "维多利亚"
BRAZILIAN_CITY_11 "圣卡洛斯"
BRAZILIAN_CITY_12 "福塔雷塞"
BRAZILIAN_CITY_13 "圣路易斯"
BRAZILIAN_CITY_14 "柏路哈里桑塔"
BRAZILIAN_CITY_15 "蒙特威尔"
BRAZILIAN_CITY_16 "马那士"
BRAZILIAN_CITY_17 "可替亚"
BRAZILIAN_CITY_18 "帕苏凡多"
BRAZILIAN_CITY_19 "马卡帕"
BRAZILIAN_CITY_20 "义塔塔亚"
BRAZILIAN_CITY_21 "若昂佩索阿"
BRAZILIAN_CITY_22 "奥萨斯库"
BRAZILIAN_CITY_23 "包鲁"
BRAZILIAN_CITY_24 "绍巴拉"
BRAZILIAN_CITY_25 "里约格兰德"
BRAZILIAN_CITY_26 "佩洛塔斯"
BRAZILIAN_CITY_27 "里奥都苏尔"
BRAZILIAN_CITY_28 "欧鲁普雷图"
BRAZILIAN_CITY_29 "阿拉卡茹"
BRAZILIAN_CITY_30 "索罗卡巴"

AUSTRALIA "澳洲人"

AUSTRALIAN_LEADERM_NAME "高斯惠特拉姆"
AUSTRALIAN_LEADERF_NAME "卡门劳伦斯"
AUSTRALIAN_COUNTRY_NAME "澳洲"
AUSTRALIAN_SINGULAR "澳洲人"
AUSTRALIAN_PLURAL "澳洲人"

AUSTRALIAN_CITY_1 "雪梨"
AUSTRALIAN_CITY_2 "墨尔本"
AUSTRALIAN_CITY_3 "植物学湾"
AUSTRALIAN_CITY_4 "希利斯班"
AUSTRALIAN_CITY_5 "纽赛"
AUSTRALIAN_CITY_6 "坎培拉"
AUSTRALIAN_CITY_7 "达尔文港"
AUSTRALIAN_CITY_8 "柏斯"
AUSTRALIAN_CITY_9 "霍巴斯"
AUSTRALIAN_CITY_10 "爱丽丝普林斯"
AUSTRALIAN_CITY_11 "朗里奇"
AUSTRALIAN_CITY_12 "凯萨琳"
AUSTRALIAN_CITY_13 "阿得雷得"
AUSTRALIAN_CITY_14 "艾尔"
AUSTRALIAN_CITY_15 "比加"
AUSTRALIAN_CITY_16 "芒特艾萨"
AUSTRALIAN_CITY_17 "凯恩斯"
AUSTRALIAN_CITY_18 "终极城"
AUSTRALIAN_CITY_19 "库兰加塔"
AUSTRALIAN_CITY_20 "林肯港"
AUSTRALIAN_CITY_21 "埃克斯茅斯"
AUSTRALIAN_CITY_22 "耶明原"
AUSTRALIAN_CITY_23 "塔姆沃斯"
AUSTRALIAN_CITY_24 "巫古尔巴"
AUSTRALIAN_CITY_25 "亚拉"
AUSTRALIAN_CITY_26 "霍克斯堡"
AUSTRALIAN_CITY_27 "罗拉"
AUSTRALIAN_CITY_28 "旺阿努伊"
AUSTRALIAN_CITY_29 "海德兰港"
AUSTRALIAN_CITY_30 "雷德兰"

MEXICO "墨西哥人"

MEXICAN_LEADERM_NAME "圣塔安那"
MEXICAN_LEADERF_NAME "胡安娜"
MEXICAN_COUNTRY_NAME "墨西哥"
MEXICAN_SINGULAR "墨西哥人"
MEXICAN_PLURAL "墨西哥人"

MEXICAN_CITY_1 "墨西哥城"
MEXICAN_CITY_2 "瓜达拉哈纳"
MEXICAN_CITY_3 "维拉克鲁斯"
MEXICAN_CITY_4 "坦比哥"
MEXICAN_CITY_5 "瓦哈卡"
MEXICAN_CITY_6 "蒙特里"
MEXICAN_CITY_7 "提哇纳"
MEXICAN_CITY_8 "胡亚雷斯"
MEXICAN_CITY_9 "吉娃娃"
MEXICAN_CITY_10 "卡布圣路卡斯"
MEXICAN_CITY_11 "伊斯塔帕"
MEXICAN_CITY_12 "厄莫西约"
MEXICAN_CITY_13 "坎昆"
MEXICAN_CITY_14 "泰卡特"
MEXICAN_CITY_15 "诺加利斯"
MEXICAN_CITY_16 "马萨特兰"
MEXICAN_CITY_17 "诺维拉瑞多"
MEXICAN_CITY_18 "萨卡特兰"
MEXICAN_CITY_19 "塔德斯圣塔斯"
MEXICAN_CITY_20 "比亚埃尔莫萨"
MEXICAN_CITY_21 "阿卡普尔科"
MEXICAN_CITY_22 "罗萨里拖"
MEXICAN_CITY_23 "纳瓦裘"
MEXICAN_CITY_24 "马哲理岛"
MEXICAN_CITY_25 "阿库马"
MEXICAN_CITY_26 "查帕拉"
MEXICAN_CITY_27 "克雷塔罗"
MEXICAN_CITY_28 "圣卡塔琳娜"
MEXICAN_CITY_29 "哥德洛普"
MEXICAN_CITY_30 "萨卡特卡斯"

ETHIOPIA  "衣索匹亚人"

ETHIOPIAN_LEADERM_NAME "哈里谢蕾斯"
ETHIOPIAN_LEADERF_NAME "示巴女王"
ETHIOPIAN_COUNTRY_NAME "衣索匹亚"
ETHIOPIAN_SINGULAR "衣索匹亚人"
ETHIOPIAN_PLURAL "衣索匹亚人"

ETHIOPIAN_CITY_1 "阿迪斯阿贝巴"
ETHIOPIAN_CITY_2 "塔纳"
ETHIOPIAN_CITY_3 "麦卡尔"
ETHIOPIAN_CITY_4 "阿克苏姆"
ETHIOPIAN_CITY_5 "马萨收"
ETHIOPIAN_CITY_6 "巴可"
ETHIOPIAN_CITY_7 "多络"
ETHIOPIAN_CITY_8 "马吉"
ETHIOPIAN_CITY_9 "哈拉尔"
ETHIOPIAN_CITY_10 "基里迪"
ETHIOPIAN_CITY_11 "迪雷达瓦"
ETHIOPIAN_CITY_12 "沃朗大波"
ETHIOPIAN_CITY_13 "果尔"
ETHIOPIAN_CITY_14 "阿尔巴米契"
ETHIOPIAN_CITY_15 "阿斯马拉"
ETHIOPIAN_CITY_16 "默克莱"
ETHIOPIAN_CITY_17 "吉马"
ETHIOPIAN_CITY_18 "邦加"
ETHIOPIAN_CITY_19 "功德"
ETHIOPIAN_CITY_20 "希多摩"
ETHIOPIAN_CITY_21 "哈雷尔基"
ETHIOPIAN_CITY_22 "加摩沟法"
ETHIOPIAN_CITY_23 "巴耳"
ETHIOPIAN_CITY_24 "沟见姆"
ETHIOPIAN_CITY_25 "太格林"
ETHIOPIAN_CITY_26 "威罗"
ETHIOPIAN_CITY_27 "韦雷加"
ETHIOPIAN_CITY_28 "茄夫"
ETHIOPIAN_CITY_29 "希瓦"
ETHIOPIAN_CITY_30 "阿尔西"

MONGOL "Enemy"

MONGOL_LEADERM_NAME "强盗头子"
MONGOL_LEADERF_NAME "强盗头子"
MONGOL_COUNTRY_NAME "敌人"
MONGOL_SINGULAR "敌人"
MONGOL_PLURAL "敌人"

MONGOL_CITY_1 "喀拉昆仑"
MONGOL_CITY_2 "撒马坎特"
MONGOL_CITY_3 "布哈拉"
MONGOL_CITY_4 "内沙布尔"
MONGOL_CITY_5 "喀什加尔"
MONGOL_CITY_6 "大布里士"
MONGOL_CITY_7 "乌兰巴托"
MONGOL_CITY_8 "喀布尔"
MONGOL_CITY_9 "荷莫兹"
MONGOL_CITY_10 "贝斯拉"
MONGOL_CITY_11 "干尼巴里克"
MONGOL_CITY_12 "呼罗珊"
MONGOL_CITY_13 "上都"
MONGOL_CITY_14 "喀山"
MONGOL_CITY_15 "阿勒颇"
MONGOL_CITY_16 "顾辛尤索"
MONGOL_CITY_17 "阿格拉都"
MONGOL_CITY_18 "天索格"
MONGOL_CITY_19 "必葛"
MONGOL_CITY_20 "吉布喝兰塔"
MONGOL_CITY_21 "纽茅吉"
MONGOL_CITY_22 "摩尔林"
MONGOL_CITY_23 "达尔比"
MONGOL_CITY_24 "克鲁伦"
MONGOL_CITY_25 "费格"
MONGOL_CITY_26 "塔姆契"
MONGOL_CITY_27 "努瓦永"
MONGOL_CITY_28 "欧波廷"
MONGOL_CITY_29 "伊赫由达"
MONGOL_CITY_30 "齐卡尔丁"



NICARAGUAN "尼加拉瓜人"

NICARAGUAN_LEADERM_NAME "莫他耶马二世"
NICARAGUAN_LEADERF_NAME "阿娜儿"
NICARAGUAN_COUNTRY_NAME "尼加拉瓜"
NICARAGUAN_SINGULAR "尼加拉瓜人"
NICARAGUAN_PLURAL "尼加拉瓜人"

NICARAGUAN_CITY_1 "马拿瓜"
NICARAGUAN_CITY_2 "圣卡罗斯"
NICARAGUAN_CITY_3 "新冈林拿"
NICARAGUAN_CITY_4 "惠加尔帕"
NICARAGUAN_CITY_5 "马他加帕"
NICARAGUAN_CITY_6 "拉罗锡塔"
NICARAGUAN_CITY_7 "里奥布兰斯"
NICARAGUAN_CITY_8 "博南扎"
NICARAGUAN_CITY_9 "拉可洛兹"
NICARAGUAN_CITY_10 "普林扎波尔卡"
NICARAGUAN_CITY_11 "圣胡安迪苏"
NICARAGUAN_CITY_12 "圣胡安迪诺特"
NICARAGUAN_CITY_13 "离瓦斯"
NICARAGUAN_CITY_14 "奥科塔尔"
NICARAGUAN_CITY_15 "修娜"
NICARAGUAN_CITY_16 "孔代嘉"
NICARAGUAN_CITY_17 "奇南德加"
NICARAGUAN_CITY_18 "雷谬斯"
NICARAGUAN_CITY_19 "博卡依"
NICARAGUAN_CITY_20 "波投西"
NICARAGUAN_CITY_21 "波多卡本撒"
NICARAGUAN_CITY_22 "拉马"
NICARAGUAN_CITY_23 "库卡拉亚"
NICARAGUAN_CITY_24 "马萨亚"
NICARAGUAN_CITY_25 "吉诺提加"
NICARAGUAN_CITY_26 "瓦兹胖"
NICARAGUAN_CITY_27 "雷谬斯"
NICARAGUAN_CITY_28 "特奥特卡席特"
NICARAGUAN_CITY_29 "威威尔"
NICARAGUAN_CITY_30 "格拉纳达"

