# - Added strings for political map(Empty for all but English) - 6-Jul-2009 EPW
# - Added new strings for redesigned empire manager. - 22-Jul-2009 Maq
# -Added strings for view capital buttons - 4-Jan-EPW
# -Added string for relationships 7-Jan-EPW

##以下はハード コード ストリングです｡99/03/09
str_ldl_Already_Offer	"もう既に提案は聞いているぞ｡それとも新しい提案かな？"
str_ldl_Starting_Age_COLON	"スタート時の時代:"
str_ldl_STATS	"統計データ"
str_ldl_Status	"状態"
str_ldl_Status_COLON	"状態:"
str_ldl_Steadfast	"固定的"
str_ldl_Steal_Discovery	"進歩の強奪｡コスト:2000ゴールド"
str_ldl_STOP_PIRACY	"海賊行為の停止"
str_ldl_STOP_TRADE_WITH	"との貿易の停止"
str_ldl_STORED	"備蓄"
str_ldl_Stored_Food	"備蓄食料"
str_ldl_Stored_Last_Turn	"最後のターンで備蓄した"
str_ldl_Strength	"国力"
str_ldl_Sue	"告訴｡500ゴールド"
str_ldl_SUGGEST_A_TREATY	"条約の提案"
str_ldl_SUPP_COST	"維持費"
str_ldl_SUPPORT	"維持"
str_ldl_TARGET_CITY	"目標の都市"
str_ldl_Team	"チーム"
str_ldl_Team_Play_On	"チーム プレイのON"
str_ldl_Ten_Biggest	"トップ10"
str_ldl_TERRA	"地形"
str_ldl_TERRAIN	"地形"
str_ldl_Terrain_Bonus_COLON	"地形ボーナス:"
str_ldl_The_current_game_setup_is_default	"現在のゲーム設定はデフォルトです｡"
str_ldl_The_game_was_full	"ゲームは既に満員です｡"
str_ldl_This_is_a_brand_spankin_new_game	"これは新規ゲームです｡"
str_ldl_This_is_a_scenario_game	"これはシナリオ ゲームです｡"
str_ldl_This_is_not_a_scenario_game	"これはシナリオ ゲームではありません｡"
str_ldl_This_is_the_continuation_of_a_saved_game	"これはセーブしたゲームの続きです｡"
str_ldl_Throw_Party	"園遊会の開催"
str_ldl_Tile	"土地"
str_ldl_Tile_Imp	"地形改善"
str_ldl_To	"対象"
str_ldl_TO_COLON	"対象:"
str_ldl_TO_SAVINGS	"国庫へ"
str_ldl_TOTAL	"合計"
str_ldl_Total_Gold	"合計ゴールド"
str_ldl_TOTAL_NO_OF_CITIES_COLON	"都市の合計数:"
str_ldl_Total_Points	"合計ポイント"
str_ldl_TOTAL_PRODUCTION	"合計生産力"
str_ldl_Total_PW	"公共労働力の合計"
str_ldl_Trade	"貿易"
str_ldl_Trade_Bonus				"from Trade"
str_ldl_Trade_Earned	"貿易の収益"
str_ldl_Trade_Off	"貿易のOFF"
str_ldl_Trade_Points	"貿易ポイント"
str_ldl_Trade_Route_Lost_Warning	"貿易ルートでの損失の警告"
str_ldl_Trade_Routes	"貿易ルート"
str_ldl_Treacherous	"油断ならない"
str_ldl_TREATY	"条約"
str_ldl_TREE	"支店"
str_ldl_Tribe	"帝国"
str_ldl_TURNS	"ターン"
str_ldl_Turns_Old	"現在のターン数"
str_ldl_Turns_Old_COLON	"現在のターン数:"
str_ldl_TURNS_REMAINING	"残りのターン数"
str_ldl_Turns_to	"必要なターン数"
str_ldl_TURNS_TO_ADVANCE_COLON	"進歩に必要なターン数:"
str_ldl_Tutorial_Advice	"チュートリアルのアドバイス"
str_ldl_TYPE	"タイプ"
str_ldl_Uncaring	"無関心な"
str_ldl_Underhanded	"手薄な"
str_ldl_Ungroup_All	"全グループを解除する"
str_ldl_Unit	"ユニット"
str_ldl_Unit_Help	"ユニットのヘルプ"
str_ldl_UNIT_MOVEMENT	"ユニットの移動"
str_ldl_UNIT_STATUS	"ユニットの状態"
str_ldl_Units	"ユニット"
str_ldl_UNLOAD_ALL	"搭載物を全て降ろす"
str_ldl_Unpredictable	"予測不能な"
str_ldl_Untarnished	"汚れのない"
str_ldl_Value	"価値"
str_ldl_Very_Large_70_x_140	"特大"
str_ldl_VICTORY	"勝利"
str_ldl_Villages_Only	"廃墟のみ"
str_ldl_Voice_Volume	"声の音量"
str_ldl_Wages	"賃金"
str_ldl_Walk_Animation	"移動アニメーション"
str_ldl_WAR_DISCONTENT	"戦時の不満"
str_ldl_Warlike	"好戦的な"
str_ldl_Warlord "初級"
str_ldl_Warm	"温暖"
str_ldl_Water_Animation	"水面アニメーション"
str_ldl_Welcome_to_the_City_Square	"都市の広場へようこそ"
str_ldl_Wet	"湿潤"
str_ldl_Which_advance	"どの進歩を要求しますか？"
str_ldl_Who_will_you_attack	"どの国を攻撃しますか？"
str_ldl_Wonder	"七不思議"
str_ldl_Wonders	"七不思議"
str_ldl_Workday	"労働時間"
str_ldl_Workers	"労働者"
str_ldl_WORLD	"世界"
str_ldl_World_Shape	"世界の形"
str_ldl_WORLD_SIZE	"マップ サイズ"
str_ldl_WORLD_TYPE	"マップのカスタマイズ"
str_ldl_X	"X"
str_ldl_Yes	"はい"
str_ldl_You_have_become_the_host_of_this_game	"このゲームのホストになりました｡"
str_ldl_You_have_created_Game	"ゲームを作成しました｡"
str_ldl_You_have_entered_Lobby	"ロビーに入りました｡"
str_ldl_You_have_joined_Game	"ゲームに参加しました｡"

#キーパー3#

str_tbl_ldl_Advance	"進歩"
str_tbl_ldl_Airlift	"空輸"
str_tbl_ldl_All_Tech	"全ての技術"
str_tbl_ldl_Arabian	"アラブの"
str_tbl_ldl_Asian	"アジアの"
str_tbl_ldl_AT_PEACE	"平時"
str_tbl_ldl_AT_WAR	"戦時"
str_tbl_ldl_Average	"平均的な"
str_tbl_ldl_Bioinfect	"細菌攻撃"
str_tbl_ldl_Blow_Up_Cabinet	"爆弾処理室"
str_tbl_ldl_Bombard	"砲爆撃"
str_tbl_ldl_BUILD_OPTIONS	"生産"
str_tbl_ldl_Building	"生産"
str_tbl_ldl_CAPS_LOAD_GAME	"ゲームのロード"
str_tbl_ldl_CAPS_SAVE_GAME	"ゲームのセーブ"
str_tbl_ldl_Carryover	"制限時間繰越"
str_tbl_ldl_Cheat_Mode	"ヒント表示モード"
str_tbl_ldl_Chieftain   "入門"
str_tbl_ldl_CITY_ESPIONAGE	"都市の探索"
str_tbl_ldl_City_Status	"都市の状態"
str_tbl_ldl_Civ_Status	"帝国の状態"
str_tbl_ldl_CLEANERS	"浄化執行者"
str_tbl_ldl_Create_Park	"ナナイト浄化テロ"
str_tbl_ldl_Custom	"カスタム"
str_tbl_ldl_Debug	"デバッグ"
str_tbl_ldl_Default	"デフォルト"
str_tbl_ldl_Deity   "不可能"
str_tbl_ldl_DEMAND_ACTION	"行動の要求"
str_tbl_ldl_DEMAND_ADVANCE	"進歩の要求"
str_tbl_ldl_DEMAND_LEAVE	"侵入の停止"
str_tbl_ldl_DEMAND_MAP	"マップの要求"
str_tbl_ldl_DEMAND_PIRACY	"海賊行為の停止"
str_tbl_ldl_DEMAND_POLLUTION	"汚染物質の削減"
str_tbl_ldl_DEMAND_STOPTRADE	"貿易の停止"
str_tbl_ldl_DEMAND_ATTACKENEMY	"敵に対する攻撃"
str_tbl_ldl_DEMAND_TRIBUTE	"ゴールドの要求"
str_tbl_ldl_Descend	"へり下った"
str_tbl_ldl_DIPLOMACY	"外交"
str_tbl_ldl_Diplomacy_Status	"外交状態"
str_tbl_ldl_Doughnut_World	"ドーナッツ型世界"
str_tbl_ldl_Dynamic_Join_Off	"途中参加 - OFF"
str_tbl_ldl_Dynamic_Join_On	"途中参加 - ON"
str_tbl_ldl_Earth_World	"地球型世界"
str_tbl_ldl_Easiest	"最も容易"
str_tbl_ldl_East_West_Wrap_Only	"東西のみ結合"
str_tbl_ldl_Easy	"容易"
str_tbl_ldl_Emperor "達人"
str_tbl_ldl_Entrench	"要塞化"
str_tbl_ldl_EXCHANGE_ADVANCE	"進歩の交換"
str_tbl_ldl_EXCHANGE_MAPS	"マップの交換"
str_tbl_ldl_Expel	"強制送還"
str_tbl_ldl_Female	"女性"
str_tbl_ldl_Fog_of_War_Off	"戦場の霧 - OFF"
str_tbl_ldl_Fog_of_War_On	"戦場の霧 - ON"
str_tbl_ldl_Games	"ゲーム"
str_tbl_ldl_GIFT	"贈り物"
str_tbl_ldl_GIFT_ADVANCE	"進歩の供与"
str_tbl_ldl_GIFT_GOLD	"ゴールドの供与"
str_tbl_ldl_Gigantic_128_96	"特大"
str_tbl_ldl_gold_for_selling_the	"の売却で得るゴールド"
str_tbl_ldl_GOVERNMENT_COLON	"政治体制:"
str_tbl_ldl_Handicapping_Off	"ﾊﾝﾃﾞｨｷｬｯﾌﾟ - OFF"
str_tbl_ldl_Handicapping_On	"ﾊﾝﾃﾞｨｷｬｯﾌﾟ - ON"
str_tbl_ldl_Happiness_Status	"幸福度の状態"
str_tbl_ldl_INDEX	"索引"
str_tbl_ldl_Info_Screen	"ランキング"
str_tbl_ldl_INSTANT	"クイック"
str_tbl_ldl_INTELLIGENCE	"情報収集活動"
str_tbl_ldl_INVENTORY	"建物一覧"
str_tbl_ldl_Investigate_City	"都市の探索"
str_tbl_ldl_Invul_Trade_On	"海賊行為 - ON"
str_tbl_ldl_Invul_Trade_Off	"海賊行為 - OFF"
str_tbl_ldl_King    "上級"
str_tbl_ldl_Large	"巨大"
str_tbl_ldl_Large_96x64	"巨大"
str_tbl_ldl_Launch	"宇宙船の打ち上げ"
str_tbl_ldl_LEADERS_NAME_COLON	"指導者の名前:"
str_tbl_ldl_Legal	"法的な"
str_tbl_ldl_Load_Game	"ゲームのロード"
str_tbl_ldl_LOAD_MAP	"マップのロード"
str_tbl_ldl_LOAD_MP_GAME	"マルチプレイヤーゲームのロード"
str_tbl_ldl_Load_Now	"すぐにロード"
str_tbl_ldl_LOAD_PBEM_GAME	"シナリオ"
str_tbl_ldl_LOAD_TEMPLATE	"テンプレートのロード"
str_tbl_ldl_load_without_saving	"セーブをしないでロードを実行すると､現在のゲーム内容は \n保存されませんので再開はできなくなります｡"
str_tbl_ldl_Lock_Unit_Stack	"重ねたユニットを固定する"
str_tbl_ldl_MAKE_DEMAND	"要求"
str_tbl_ldl_Male	"男性"
str_tbl_ldl_Map_Folders	"マップ フォルダー"
str_tbl_ldl_Maps	"マップ"
str_tbl_ldl_Medium	"標準"
str_tbl_ldl_Medium_48x64	"標準"
str_tbl_ldl_MILITARY_READINESS_COLON	"臨戦態勢:"
str_tbl_ldl_Move_East	"東へ移動"
str_tbl_ldl_Move_North	"北へ移動"
str_tbl_ldl_Move_Northeast	"北東へ移動"
str_tbl_ldl_Move_Northwest	"北西へ移動"
str_tbl_ldl_Move_South	"南へ移動"
str_tbl_ldl_Move_Southeast	"南東へ移動"
str_tbl_ldl_Move_Southwest	"南西へ移動"
str_tbl_ldl_Move_West	"西へ移動"
str_tbl_ldl_Move_Up_Or_Down	"上または下へ移動"
str_tbl_ldl_UnitCityToggle	"ユニット/都市の切り替え"
str_tbl_ldl_MP_Games	"マルチプレイヤーゲーム"
str_tbl_ldl_MP_Saves	"マルチプレイヤーゲームのセーブ"
str_tbl_ldl_Nano_Terror	"ナノ兵器テロ"
str_tbl_ldl_NEGATIVE_HAPPINESS	"幸福度のマイナス要因"
str_tbl_ldl_Next_Turn	"次のターン"
str_tbl_ldl_Next_UnitCity	"次のユニット/都市"

str_tbl_ldl_No_Available_Caravans	"利用可能なキャラバンがありません！"
str_tbl_ldl_no_required_Advance	"都市に必要な改善施設がありません！"
str_tbl_ldl_Normal	"標準"
str_tbl_ldl_North_South_and_East_West	"南北と東西"
str_tbl_ldl_Nothing_Building	"生産停止中"
str_tbl_ldl_NP	"NP"
str_tbl_ldl_ON_ALERT	"警戒"
str_tbl_ldl_Open_City_Status	"国家管理"
str_tbl_ldl_Open_City_View	"都市管理"
str_tbl_ldl_Open_Civ_Status	"帝国管理"
str_tbl_ldl_Open_Diplomacy	"外交管理"
str_tbl_ldl_Open_Great_Library	"百科事典"
str_tbl_ldl_Open_Info_Screen	"現在のスコア"
str_tbl_ldl_Open_Options_Screen	"オプション画面"
str_tbl_ldl_Open_Science_Status	"科学管理"
str_tbl_ldl_Open_Trade_Status	"貿易管理"
str_tbl_ldl_Open_Unit_Status	"ユニット管理"
str_tbl_ldl_Open_Work_View	"[労働画面]を開く"
str_tbl_ldl_Paradrop	"空挺部隊降下"
str_tbl_ldl_Pause_Game	"ゲームの中断"
str_tbl_ldl_PERSONALITY_TYPE_COLON	"性格のタイプ:"
str_tbl_ldl_Pillage	"略奪"
str_tbl_ldl_Plant_Nuke	"核兵器設置"
str_tbl_ldl_POLLUTERS	"汚染物質の排出国"
str_tbl_ldl_Pollution_Off	"汚染 - OFF"
str_tbl_ldl_Pollution_On	"汚染 - ON"
str_tbl_ldl_Pop	"人口"
str_tbl_ldl_POSITIVE_HAPPINESS	"幸福度のプラス要素"
str_tbl_ldl_Prince  "中級"
str_tbl_ldl_Private	"プライベート"
str_tbl_ldl_Public	"パブリック"
str_tbl_ldl_QUEUE	"待ち列"
str_tbl_ldl_Quit_Now	"すぐに終了"
str_tbl_ldl_quit_without_saving	"セーブをしないでロードを実行すると､現在のゲーム内容は \n保存されませんので再開はできなくなります｡"
str_tbl_ldl_Random	"ランダム"
str_tbl_ldl_REQUEST	"交換"
str_tbl_ldl_RESPONSE	"スパイ活動"
str_tbl_ldl_Restart_Now	"すぐに再スタート"
str_tbl_ldl_restart_without_saving	"セーブをしないでロードを実行すると､現在のゲーム内容は \n保存されませんので再開はできなくなります｡"
str_tbl_ldl_Return_to_normal	"標準に戻す"
str_tbl_ldl_RUSH_BUY	"緊急購入"
str_tbl_ldl_Save_Game	"ゲームのセーブ"
str_tbl_ldl_SAVE_MAP	"マップのセーブ"
str_tbl_ldl_Saves	"セーブ"
str_tbl_ldl_Seconds_Per_Turn_COLON	"ターン当たりの秒数:"
str_tbl_ldl_SEND	"送る"
str_tbl_ldl_SEND_GREETINGS	"グリーティング"
str_tbl_ldl_SEND_REQUEST	"要求"
str_tbl_ldl_Settle	"都市建設"
str_tbl_ldl_Skip_Unit	"ユニットのスキップ"
str_tbl_ldl_Sleep	"警戒"
str_tbl_ldl_Small	"小"
str_tbl_ldl_Small_32x48	"小"
str_tbl_ldl_Speed_Turns	"ターンの高速化"
str_tbl_ldl_Team	"チーム"
str_tbl_ldl_Teams_Off	"チーム - OFF"
str_tbl_ldl_Teams_On	"チーム - ON"
str_tbl_ldl_Tile	"タイル"
str_tbl_ldl_TO_THE_COLON	"対象:"
str_tbl_ldl_TOTAL_CLEANING	"汚染浄化の合計"
str_tbl_ldl_TOTAL_NEGATIVE	"マイナス要素の合計"
str_tbl_ldl_TOTAL_POLLUTION	"汚染の合計"
str_tbl_ldl_TOTAL_POSITIVE	"プラス要因の合計"
str_tbl_ldl_Trade_Off	"貿易 - OFF"
str_tbl_ldl_Trade_On	"貿易 - ON"
str_tbl_ldl_Trade_Route_Established	"貿易ルートが完成しました｡"
str_tbl_ldl_Trade_Route_path_has_been_reset	"貿易ルートの経路が変わりました｡"
str_tbl_ldl_Trade_Status	"貿易の状態"
str_tbl_ldl_TREATY	"条約"
str_tbl_ldl_TREATY_ALLIANCE	"同盟の締結"
str_tbl_ldl_TREATY_CEASE_FIRE	"平和条約の締結"
str_tbl_ldl_TREATY_ECOPACT	"汚染防止協定の締結"
str_tbl_ldl_TREE	"支店"
str_tbl_ldl_UNDISCOVERED_ADVANCES_KNOWN_COLON	"未知の進歩を発見しました｡"
str_tbl_ldl_Unit	"ユニット"
str_tbl_ldl_Unit_Status	"ユニットの状態"
str_tbl_ldl_Unload_Transport	"積荷を降ろす"
str_tbl_ldl_Unlock_Unit_Stack	"重ねたユニットの固定を解除する"

str_tbl_ldl_Very_Large	"特大"

str_tbl_ldl_Warlord "初級"
str_tbl_ldl_Wonder	"七不思議"
str_tbl_ldl_You_will_receive	"受け取るのは"
str_tbl_ldl_Your_Intent_to_Purchase_has_been_Sent	"購入するという意思表示を送信しました｡"
str_tbl_ldl_Zoom_in_one_level	"1レベルのズームイン"
str_tbl_ldl_Zoom_out_one_level	"1レベルのズームアウト"
str_ldl_CAPS_MUSIC  "音楽"
str_ldl_Select_Track	"トラックの選択"
str_ldl_CAPS_SELECT_TRACK	"トラックの選択"
str_tbl_ldl_Auto_Repeat_On	"自動繰り返しのON"
str_tbl_ldl_Auto_Repeat_Off	"自動繰り返しのOFF"
str_tbl_ldl_Random_Order_On	"ランダム命令のON"
str_tbl_ldl_Random_Order_Off  "ランダム命令のOFF"
str_ldl_Fuel_COLON  "燃料:"




###   DO NOT TRANSLATE   #############################################################################################

#Number Junk#
str_ldl_  ""
str_ldl_0	"0"
str_ldl_1	"1"
str_ldl_10	"10"
str_ldl_100	"100"
str_ldl_1000_G	"1000 G"
str_ldl_15	"15"
str_ldl_2	"2"
str_ldl_25	"25"
str_ldl_3	"3"
str_ldl_3_PERCENT	"3%"
str_ldl_4	"4"
str_ldl_475	"475"
str_ldl_5	"5"
str_ldl_50	"50"
str_ldl_500	"500"
str_ldl_6	"6"
str_ldl_7	"7"
str_ldl_8	"8"


str_tbl_ldl_upba5012_tga	"upba5012.tga"
str_tbl_ldl_upba5013_tga	"upba5013.tga"
str_tbl_ldl_upba5014_tga	"upba5014.tga"
CANT_ATTACK_TEAMMATES "{player[0].leader_name}は同じチームなので攻撃できません｡"

## branch icons
str_tbl_ldl_upk100.tga	"upk100.tga"
str_tbl_ldl_upk101.tga	"upk101.tga"
str_tbl_ldl_upk102.tga	"upk102.tga"
str_tbl_ldl_upk103.tga	"upk103.tga"
str_tbl_ldl_upk104.tga	"upk104.tga"
str_tbl_ldl_upk105.tga	"upk105.tga"
str_tbl_ldl_upk106.tga	"upk106.tga"
str_tbl_ldl_upk107.tga	"upk107.tga"
str_tbl_ldl_upk108.tga	"upk108.tga"
str_tbl_ldl_upk109.tga	"upk109.tga"
str_tbl_ldl_upk110.tga	"upk110.tga"
str_tbl_ldl_upk111.tga	"upk111.tga"




# ジャンク1 #
str_ldl_Ai_Track	"AIトラック"
str_ldl_Accept	"受け入れ"
str_ldl_AF	"AF"
str_ldl_Air	"空"
str_ldl_Assign	"割り当てる"
str_ldl_Blah	"でたらめな"
str_ldl_BR	"BR"
str_ldl_Building_Label	"ラベルの生産"
str_ldl_Automate_Research_To_Find	"発見すべき進歩の自動選択"
str_ldl_Available_Abilities	"利用可能な能力"
str_ldl_BASIC_COMMANDS	"基本コマンド"
str_ldl_BASKET_WEAVING	"バスケットの設定"
str_ldl_Bouncing_Message	"メッセージのやり取り"
str_ldl_Brightness	"聡明さ"
str_ldl_CAPS_CARBON_DIOXIDE	"二酸化炭素"
str_ldl_CAPS_OK	"OK"
str_ldl_CAPS_OZONE	"オゾン"
str_ldl_CAPS_RETURN	"戻す"
str_ldl_CAPS_SEARCH	"研究"
str_ldl_CAPS_SPECIAL	"特殊な"

# ジャンク2 #
str_ldl_Carbon_Dioxide	"二酸化炭素"
str_ldl_Cautious	"注意深い"
str_ldl_Character	"性格"
str_ldl_Class	"クラス"
str_ldl_CLEAR_ALL	"全てをクリアする"
str_ldl_Clear_All_Orders	"全ての命令をクリアする"
str_ldl_CLEAR_ORDERS	"命令をクリアする"
str_ldl_CLOSE_BRACKET	">"
str_ldl_co	"co"
str_ldl_col1	"col1"
str_ldl_col2	"col2"
str_ldl_col3	"col3"
str_ldl_col4	"col4"
str_ldl_Cold	"寒冷"
str_ldl_Color	"色"
str_ldl_CONCEPT	"概念"
str_ldl_Contrast	"コントラスト"
str_ldl_Copy	"コピー"
str_ldl_cu	"cu"
str_ldl_Cunning	"ヒント表示"
str_ldl_Current_Advancements	"現在の進歩"
str_ldl_Current_Age	"現在の時代"
str_ldl_Current_Age_COLON	"現在の時代:"
str_ldl_CURRENT_GOVERNMENT_COLON	"現在の政治体制:"
str_ldl_Current_Lobby_COLON	"現在のロビー:"
str_ldl_Current_Setting	"現在の設定"
str_ldl_Current_Supply	"現在の供給"
str_ldl_demand_a_map	"相手のマップを要求します｡"
str_ldl_Deplorable	"探検可能"
str_ldl_DESCRIPTION_INSTALLATION_X_RAY_MINES	"DESCRIPTION_INSTALLATION_X_RAY_MINES"
str_ldl_Debug_version	"最終リリースには､デバッグ バージョンがありません｡"
str_ldl_Defense_COLON	"防御:"
str_ldl_d	"d"
str_ldl_DESCRIPTION_ALPINE	"DESCRIPTION_ALPINE"
str_ldl_Description_COLON	"説明:"
str_ldl_DESCRIPTION_DESERTS	"DESCRIPTION_DESERTS"
str_ldl_DESCRIPTION_FORESTS	"DESCRIPTION_FORESTS"
str_ldl_DESCRIPTION_GLACIERS	"DESCRIPTION_GLACIERS"
str_ldl_DESCRIPTION_GRASSLAND	"DESCRIPTION_GRASSLAND"
str_ldl_DESCRIPTION_HILLS	"DESCRIPTION_HILLS"
str_ldl_DESCRIPTION_INSTALLATION_AIR_BASES	"DESCRIPTION_INSTALLATION_AIR_BASES"
str_ldl_DESCRIPTION_INSTALLATION_DRYDOCK	"DESCRIPTION_INSTALLATION_DRYDOCK"
str_ldl_DESCRIPTION_INSTALLATION_FORTIFICATIONS	"DESCRIPTION_INSTALLATION_FORTIFICATIONS"
str_ldl_DESCRIPTION_INSTALLATION_LAND_MINES	"DESCRIPTION_INSTALLATION_LAND_MINES"
str_ldl_DESCRIPTION_INSTALLATION_LISTENING_POSTS	"DESCRIPTION_INSTALLATION_LISTENING_POSTS"
str_ldl_DESCRIPTION_INSTALLATION_MAGNETIC_MINES	"DESCRIPTION_INSTALLATION_MAGNETIC_MINES"
str_ldl_DESCRIPTION_INSTALLATION_RADAR_STATIONS	"DESCRIPTION_INSTALLATION_RADAR_STATIONS"
str_ldl_DESCRIPTION_INSTALLATION_SONAR_BUOYS	"DESCRIPTION_INSTALLATION_SONAR_BUOYS"
str_ldl_DESCRIPTION_INSTALLATION_SPACEDOCK	"DESCRIPTION_INSTALLATION_SPACEDOCK"
str_ldl_DESCRIPTION_RAINFOREST	"DESCRIPTION_RAINFOREST"
str_ldl_DESCRIPTION_SAVANNAH	"DESCRIPTION_SAVANNAH"
str_ldl_DESCRIPTION_SWAMPS	"DESCRIPTION_SWAMPS"
str_ldl_DESCRIPTION_TILEIMP_ADVANCED_FARMS	"DESCRIPTION_TILEIMP_ADVANCED_FARMS"
str_ldl_DESCRIPTION_TILEIMP_ADVANCED_MINES	"DESCRIPTION_TILEIMP_ADVANCED_MINES"
str_ldl_DESCRIPTION_TILEIMP_ADVANCED_ROBOTIC_DOCKS	"DESCRIPTION_TILEIMP_ADVANCED_ROBOTIC_DOCKS"
str_ldl_DESCRIPTION_TILEIMP_ADVANCED_UNDERSEA_MINES	"DESCRIPTION_TILEIMP_ADVANCED_UNDERSEA_MINES"
str_ldl_DESCRIPTION_TILEIMP_AUTOMATED_FISHERIES	"DESCRIPTION_TILEIMP_AUTOMATED_FISHERIES"
str_ldl_DESCRIPTION_TILEIMP_FARMS	"DESCRIPTION_TILEIMP_FARMS"
str_ldl_DESCRIPTION_TILEIMP_FISHERIES	"DESCRIPTION_TILEIMP_FISHERIES"
str_ldl_DESCRIPTION_TILEIMP_FOOD_MODULES	"DESCRIPTION_TILEIMP_FOOD_MODULES"
str_ldl_DESCRIPTION_TILEIMP_FOOD_PODS	"DESCRIPTION_TILEIMP_FOOD_PODS"
str_ldl_DESCRIPTION_TILEIMP_FOOD_TANKS	"DESCRIPTION_TILEIMP_FOOD_TANKS"
str_ldl_DESCRIPTION_TILEIMP_HYDROPONIC_FARMS	"DESCRIPTION_TILEIMP_HYDROPONIC_FARMS"
str_ldl_DESCRIPTION_TILEIMP_LEVEL_MEGA_UNDERSEA_MINES	"DESCRIPTION_TILEIMP_LEVEL_MEGA_UNDERSEA_MINES"
str_ldl_DESCRIPTION_TILEIMP_MAGLEV	"DESCRIPTION_TILEIMP_MAGLEV"
str_ldl_DESCRIPTION_TILEIMP_MEGA_MANUFACTURING_BAY	"DESCRIPTION_TILEIMP_MEGA_MANUFACTURING_BAY"
str_ldl_DESCRIPTION_TILEIMP_MEGA_MINES	"DESCRIPTION_TILEIMP_MEGA_MINES"
str_ldl_DESCRIPTION_TILEIMP_MINES	"DESCRIPTION_TILEIMP_MINES"
str_ldl_DESCRIPTION_TILEIMP_NETS	"DESCRIPTION_TILEIMP_NETS"
str_ldl_DESCRIPTION_TILEIMP_RAILROAD	"DESCRIPTION_TILEIMP_RAILROAD"
str_ldl_DESCRIPTION_TILEIMP_ROAD	"DESCRIPTION_TILEIMP_ROAD"
str_ldl_DESCRIPTION_TILEIMP_ROBOTIC_DOCKS	"DESCRIPTION_TILEIMP_ROBOTIC_DOCKS"
str_ldl_DESCRIPTION_TILEIMP_UNDERSEA_MINES	"DESCRIPTION_TILEIMP_UNDERSEA_MINES"
str_ldl_DESCRIPTION_TILEIMP_UNDERSEA_TUNNEL	"DESCRIPTION_TILEIMP_UNDERSEA_TUNNEL"
str_ldl_DESCRIPTION_TUNDRA	"DESCRIPTION_TUNDRA"
str_ldl_DF	"DF"
str_ldl_DISCONTENT	"不満"
str_ldl_Dumb	"愚かな"
str_ldl_Elite_Corps	"エリート部隊"
str_ldl_Email_COLON	"電子メール:"
str_ldl_Embassies_With_These_Civilizations	"これらの国々の大使館"
str_ldl_Enter_Text	"テキストの入力"
str_ldl_Estimated_Power_COLON	"国力の推定:　あなたの国は$@^&*(の深くにある｡"
str_ldl_F	"F"
str_ldl_Exit	"終了"
str_ldl_Flat_World	"平らな世界"
str_ldl_Great_Library_Animation	"百科事典のアニメーション"
str_ldl_Gross_Gold	"ゴールドの総計"
str_ldl_Gross_Product	"生産力の総計"
str_ldl_Gross_Production	"生産力の総計"
str_ldl_I	"I"
str_ldl_Icon	"アイコン"
str_ldl_Kill_Offer	"攻撃の提案"
str_ldl_M	"M"
str_ldl_M_Cost	"Mコスト"
str_ldl_Last_Actions_Cost	"直前の行動コスト"
str_ldl_Last_Graph	"直前のグラフ"
str_ldl_Last_Page	"直前のページ"
str_ldl_Last_Section	"直前のセクション"
str_ldl_Last_Turn	"直前のターン"
str_ldl_Fought_Last_Turn	"戦った最後のターン"
str_ldl_Global_Warming	"地球温暖化"
str_ldl_Global_Warmining	"地球温暖化"
str_ldl_Go_To	"行き先"
str_ldl_Go_to_airport	"空港に向かう"
str_ldl_Go_to_city	"都市に向かう"
str_ldl_GO_TO_COLON	"行き先:"
str_ldl_Go_to_drydock	"乾ドックに向かう"
str_ldl_Go_to_fort	"要塞に向かう"
str_ldl_Go_To_Nearest_Repair	"最寄りの修理工場へ向かう"
str_ldl_Go_to_spacedock	"スペースドックへ向かう"
str_ldl_Gamma	"ガンマ"
str_ldl_Grunt	"不平を言う"
str_ldl_GrwothStyle	"発展のスタイル"
str_ldl_Less_Messages	"少ないメッセージ"
str_ldl_Maximum_Research_COLON	"最終研究可能時代:"
str_ldl_List	"リスト"
str_ldl_Make_Draggable	"牽引可能にする"
str_ldl_Make_Queue	"待ち列の作成"
str_ldl_Make_Transparent	"透明にする"
str_ldl_New	"新規"
str_ldl_New_Food	"新しい食料"
str_ldl_Max_Science	"科学の最大化"
str_ldl_MICRO	"マイクロ"
str_ldl_Net_Average	"実際の平均値"
str_ldl_Net_Food	"実際の合計食料"
str_ldl_Net_Gold	"実際の合計ゴールド"
str_ldl_Net_Production	"実際の合計生産力"
str_ldl_Next_Graph	"次のグラフ"
str_ldl_Next_Page	"次のページ"
str_ldl_More_Messages	"多いメッセージ"
str_ldl_No_Danger_Here	"ここは安全です｡"
str_ldl_No_wrapping	"地図端接続無し"
str_ldl_Note_COLON	"注意:"
str_ldl_p	"p"
str_ldl_PERCENT_Production	"%の生産力"
str_ldl_PERCENTs_Game	"%sのゲーム"
str_ldl_PLAY_TUTORIAL	"チュートリアル"
str_ldl_Ozone	"オゾン"
str_ldl_Ozone_Loss	"オゾン層の破壊"
str_ldl_Messaging_Advisors	"メッセージのアドバイザー"
str_ldl_Next_Section	"次のセクション"
str_ldl_Patrol	"パトロール"
